condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,recall
adaptive_improved,492871,32,18,582.3706696371278,579.1054959463632,582.1409912109375,0.864
adaptive_improved,492871,64,18,582.3706696371278,579.1054959463632,582.1409912109375,0.9
adaptive_improved,492871,128,18,582.3706696371278,579.1054959463632,582.1409912109375,0.9264000000000001
adaptive_improved,478195,32,19,619.2805087702061,615.1780437686579,619.4166259765625,0.8254
adaptive_improved,478195,64,19,619.2805087702061,615.1780437686579,619.4166259765625,0.861
adaptive_improved,478195,128,19,619.2805087702061,615.1780437686579,619.4166259765625,0.8926000000000001
adaptive_improved,454068,32,20,619.1130544600949,614.794657061177,619.0675048828125,0.885
adaptive_improved,454068,64,20,619.1130544600949,614.794657061177,619.0675048828125,0.9145999999999999
adaptive_improved,454068,128,20,619.1130544600949,614.794657061177,619.0675048828125,0.9394000000000001
adaptive_improved,477222,32,21,617.8828083076862,613.4959164397885,617.8577880859375,0.9046000000000002
adaptive_improved,477222,64,21,617.8828083076862,613.4959164397885,617.8577880859375,0.925
adaptive_improved,477222,128,21,617.8828083076862,613.4959164397885,617.8577880859375,0.9478
adaptive_improved,493136,32,22,616.8599232089135,612.3114402524886,616.7406616210938,0.9276000000000001
adaptive_improved,493136,64,22,616.8599232089135,612.3114402524886,616.7406616210938,0.9486000000000001
