condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,recall
adaptive_improved,469956,32,18,617.1244365607708,612.5981360575563,617.013671875,0.9236
adaptive_improved,469956,64,18,617.1244365607708,612.5981360575563,617.013671875,0.9488
adaptive_improved,469956,128,18,617.1244365607708,612.5981360575563,617.013671875,0.9662000000000001
adaptive_improved,483774,32,19,619.3349199585208,614.6535850045163,619.4166259765625,0.9168
adaptive_improved,483774,64,19,619.3349199585208,614.6535850045163,619.4166259765625,0.9374000000000001
adaptive_improved,483774,128,19,619.3349199585208,614.6535850045163,619.4166259765625,0.9544000000000001
adaptive_improved,497481,32,20,618.9570551226216,614.4927752094884,619.0675048828125,0.9224000000000001
adaptive_improved,497481,64,20,618.9570551226216,614.4927752094884,619.0675048828125,0.9412
adaptive_improved,497481,128,20,618.9570551226216,614.4927752094884,619.0675048828125,0.9604000000000001
adaptive_improved,461497,32,21,617.9430955852301,613.45203705141,617.8577880859375,0.9282
adaptive_improved,461497,64,21,617.9430955852301,613.45203705141,617.8577880859375,0.947
adaptive_improved,461497,128,21,617.9430955852301,613.45203705141,617.8577880859375,0.9622
adaptive_improved,472610,32,22,616.8599232089135,612.2169786268665,616.7406616210938,0.9442
adaptive_improved,472610,64,22,616.8599232089135,612.2169786268665,616.7406616210938,0.9614000000000001
