strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,500,11,9,True,0.6,1.0,0.995,221298.1712,81195.7246,126.9442,37.634,883.1898,14522.0514,1382.438,5000,3.5028,1.9044,,0.302,1.2432,0.4945
no_adaptation,10,0,1,False,0.0,0.0,0.9041,261631.275,43496.247,142.7857,38.746,12.244,241.946,31.089,3000,0.0412,0.0412,,0.0,0.0,0.0
no_adaptation,10,1,2,False,0.0,0.1,0.7895,271577.098,76025.2483,133.8393,33.7983,15.205,343.244,40.0057,3000,0.0469,0.0469,,0.0,0.0,0.0
no_adaptation,10,2,3,False,0.1,0.1,0.7731,264705.0513,57630.8203,140.8327,37.828,12.88,275.1997,32.5473,3000,0.0423,0.0423,,0.0,0.0,0.0
no_adaptation,10,3,3,True,0.1,0.1,0.7736,265700.7986,57807.757,140.7046,37.9378,12.8756,275.3758,32.717,5000,0.0445,0.0445,,0.0,0.0,0.0
no_adaptation,10,4,4,False,0.1,0.2,0.5781,273500.853,88840.3753,130.7263,31.8463,17.3473,410.1553,40.975,3000,0.0515,0.0515,,0.0,0.0,0.0
no_adaptation,10,5,5,False,0.2,0.3,0.6494,271723.1733,74992.7797,136.5667,35.4187,14.1003,321.9353,35.884,3000,0.0448,0.0448,,0.0,0.0,0.0
no_adaptation,10,6,6,False,0.3,0.3,0.5852,263671.8267,65127.0377,139.873,38.5003,12.9123,283.1917,31.5147,3000,0.0414,0.0414,,0.0,0.0,0.0
no_adaptation,10,7,6,True,0.3,0.3,0.5838,267375.9454,65319.3868,140.2456,38.2454,12.8818,282.7862,31.5588,5000,0.0426,0.0426,,0.0,0.0,0.0
no_adaptation,10,8,7,False,0.3,0.4,0.313,270868.701,98359.1443,128.1687,30.453,18.2007,442.9907,40.3743,3000,0.055,0.055,,0.0,0.0,0.0
no_adaptation,10,9,8,False,0.4,0.6,0.3217,268633.0483,97601.2147,128.43,31.0617,17.76,431.126,39.511,3000,0.0536,0.0536,,0.0,0.0,0.0
no_adaptation,10,10,9,False,0.6,1.0,0.3236,270095.6523,85340.5097,134.5967,34.8297,13.9367,328.513,34.1007,3000,0.045,0.045,,0.0,0.0,0.0
no_adaptation,10,11,9,True,0.6,1.0,0.3207,269524.1102,84841.8536,134.6786,35.1806,13.8894,327.33,33.929,5000,0.045,0.045,,0.0,0.0,0.0
no_adaptation,50,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,50.799,851.9233,97.3353,3000,0.1132,0.1132,,0.0,0.0,0.0
no_adaptation,50,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,52.5913,1061.4987,141.0023,3000,0.1296,0.1296,,0.0,0.0,0.0
no_adaptation,50,2,3,False,0.1,0.1,0.975,264705.0513,57630.8203,140.8327,37.828,51.1383,969.1837,113.189,3000,0.12,0.12,,0.0,0.0,0.0
no_adaptation,50,3,3,True,0.1,0.1,0.9753,265700.7986,57807.757,140.7046,37.9378,51.1562,968.5626,113.1756,5000,0.1181,0.1181,,0.0,0.0,0.0
no_adaptation,50,4,4,False,0.1,0.2,0.953,273500.853,88840.3753,130.7263,31.8463,54.3857,1184.7123,162.7633,3000,0.1356,0.1356,,0.0,0.0,0.0
no_adaptation,50,5,5,False,0.2,0.3,0.9291,271723.1733,74992.7797,136.5667,35.4187,52.054,1084.1947,134.1647,3000,0.1266,0.1266,,0.0,0.0,0.0
no_adaptation,50,6,6,False,0.3,0.3,0.8993,263671.8267,65127.0377,139.873,38.5003,51.406,1032.8217,120.564,3000,0.1215,0.1215,,0.0,0.0,0.0
no_adaptation,50,7,6,True,0.3,0.3,0.9026,267375.9454,65319.3868,140.2456,38.2454,51.43,1034.5888,120.7206,5000,0.1241,0.1241,,0.0,0.0,0.0
no_adaptation,50,8,7,False,0.3,0.4,0.8219,270868.701,98359.1443,128.1687,30.453,57.5257,1317.2997,178.835,3000,0.1502,0.1502,,0.0,0.0,0.0
no_adaptation,50,9,8,False,0.4,0.6,0.7724,268633.0483,97601.2147,128.43,31.0617,56.6917,1296.6293,173.3203,3000,0.1461,0.1461,,0.0,0.0,0.0
no_adaptation,50,10,9,False,0.6,1.0,0.729,270095.6523,85340.5097,134.5967,34.8297,53.489,1188.5997,143.4533,3000,0.1359,0.1359,,0.0,0.0,0.0
no_adaptation,50,11,9,True,0.6,1.0,0.7293,269524.1102,84841.8536,134.6786,35.1806,53.3956,1185.3376,143.2358,5000,0.1315,0.1315,,0.0,0.0,0.0
no_adaptation,100,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,100.4767,1532.696,154.2263,3000,0.207,0.207,,0.0,0.0,0.0
no_adaptation,100,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,101.8267,1915.8037,221.3793,3000,0.2349,0.2349,,0.0,0.0,0.0
no_adaptation,100,2,3,False,0.1,0.1,0.9946,264705.0513,57630.8203,140.8327,37.828,100.7127,1767.073,183.8117,3000,0.2202,0.2202,,0.0,0.0,0.0
no_adaptation,100,3,3,True,0.1,0.1,0.9947,265700.7986,57807.757,140.7046,37.9378,100.7236,1765.7492,183.9402,5000,0.2153,0.2153,,0.0,0.0,0.0
no_adaptation,100,4,4,False,0.1,0.2,0.9832,273500.853,88840.3753,130.7263,31.8463,103.0207,2120.316,265.6147,3000,0.2458,0.2458,,0.0,0.0,0.0
no_adaptation,100,5,5,False,0.2,0.3,0.9778,271723.1733,74992.7797,136.5667,35.4187,101.371,1985.125,220.261,3000,0.2316,0.2316,,0.0,0.0,0.0
no_adaptation,100,6,6,False,0.3,0.3,0.9681,263671.8267,65127.0377,139.873,38.5003,100.8417,1902.8323,204.4533,3000,0.2245,0.2245,,0.0,0.0,0.0
no_adaptation,100,7,6,True,0.3,0.3,0.9695,267375.9454,65319.3868,140.2456,38.2454,100.848,1904.9042,204.3134,5000,0.2236,0.2236,,0.0,0.0,0.0
no_adaptation,100,8,7,False,0.3,0.4,0.9172,270868.701,98359.1443,128.1687,30.453,104.8623,2294.4727,302.7957,3000,0.2575,0.2575,,0.0,0.0,0.0
no_adaptation,100,9,8,False,0.4,0.6,0.8928,268633.0483,97601.2147,128.43,31.0617,104.375,2286.7863,295.542,3000,0.2591,0.2591,,0.0,0.0,0.0
no_adaptation,100,10,9,False,0.6,1.0,0.8787,270095.6523,85340.5097,134.5967,34.8297,101.9847,2166.264,250.1977,3000,0.2439,0.2439,,0.0,0.0,0.0
no_adaptation,100,11,9,True,0.6,1.0,0.8819,269524.1102,84841.8536,134.6786,35.1806,102.0008,2162.0676,250.0372,5000,0.2431,0.2431,,0.0,0.0,0.0
no_adaptation,200,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,200.28,2753.0787,254.4413,3000,0.3772,0.3772,,0.0,0.0,0.0
no_adaptation,200,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,201.2587,3494.075,350.7073,3000,0.4334,0.4334,,0.0,0.0,0.0
no_adaptation,200,2,3,False,0.1,0.1,0.9989,264705.0513,57630.8203,140.8327,37.828,200.41,3215.4543,305.9787,3000,0.4119,0.4119,,0.0,0.0,0.0
no_adaptation,200,3,3,True,0.1,0.1,0.9988,265700.7986,57807.757,140.7046,37.9378,200.4468,3213.3974,305.9282,5000,0.3972,0.3972,,0.0,0.0,0.0
no_adaptation,200,4,4,False,0.1,0.2,0.9955,273500.853,88840.3753,130.7263,31.8463,202.0227,3886.986,426.9003,3000,0.4507,0.4507,,0.0,0.0,0.0
no_adaptation,200,5,5,False,0.2,0.3,0.9951,271723.1733,74992.7797,136.5667,35.4187,200.8783,3650.039,365.2333,3000,0.4296,0.4296,,0.0,0.0,0.0
no_adaptation,200,6,6,False,0.3,0.3,0.9917,263671.8267,65127.0377,139.873,38.5003,200.529,3500.515,348.2647,3000,0.4176,0.4176,,0.0,0.0,0.0
no_adaptation,200,7,6,True,0.3,0.3,0.9925,267375.9454,65319.3868,140.2456,38.2454,200.5174,3504.1322,348.5,5000,0.43,0.43,,0.0,0.0,0.0
no_adaptation,200,8,7,False,0.3,0.4,0.9702,270868.701,98359.1443,128.1687,30.453,203.2303,4199.2107,500.083,3000,0.4845,0.4845,,0.0,0.0,0.0
no_adaptation,200,9,8,False,0.4,0.6,0.9605,268633.0483,97601.2147,128.43,31.0617,202.864,4200.185,492.4727,3000,0.4906,0.4906,,0.0,0.0,0.0
no_adaptation,200,10,9,False,0.6,1.0,0.9578,270095.6523,85340.5097,134.5967,34.8297,201.1973,4026.977,432.2537,3000,0.469,0.469,,0.0,0.0,0.0
no_adaptation,200,11,9,True,0.6,1.0,0.9576,269524.1102,84841.8536,134.6786,35.1806,201.203,4019.2912,431.9842,5000,0.468,0.468,,0.0,0.0,0.0
no_adaptation,500,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,500.1477,5921.8113,524.963,3000,0.8361,0.8361,,0.0,0.0,0.0
no_adaptation,500,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,500.7443,7699.7417,691.969,3000,0.9647,0.9647,,0.0,0.0,0.0
no_adaptation,500,2,3,False,0.1,0.1,0.9999,264705.0513,57630.8203,140.8327,37.828,500.2287,7016.1343,630.1533,3000,0.9164,0.9164,,0.0,0.0,0.0
no_adaptation,500,3,3,True,0.1,0.1,0.9998,265700.7986,57807.757,140.7046,37.9378,500.2318,7006.368,628.3948,5000,0.9145,0.9145,,0.0,0.0,0.0
no_adaptation,500,4,4,False,0.1,0.2,0.9992,273500.853,88840.3753,130.7263,31.8463,501.2113,8671.1847,820.6597,3000,1.025,1.025,,0.0,0.0,0.0
no_adaptation,500,5,5,False,0.2,0.3,0.9995,271723.1733,74992.7797,136.5667,35.4187,500.458,8085.2513,743.6,3000,0.9882,0.9882,,0.0,0.0,0.0
no_adaptation,500,6,6,False,0.3,0.3,0.9989,263671.8267,65127.0377,139.873,38.5003,500.2667,7721.6673,720.0647,3000,0.9609,0.9609,,0.0,0.0,0.0
no_adaptation,500,7,6,True,0.3,0.3,0.9991,267375.9454,65319.3868,140.2456,38.2454,500.2668,7727.1548,721.175,5000,1.0109,1.0109,,0.0,0.0,0.0
no_adaptation,500,8,7,False,0.3,0.4,0.9946,270868.701,98359.1443,128.1687,30.453,501.8823,9436.1673,963.079,3000,1.1252,1.1252,,0.0,0.0,0.0
no_adaptation,500,9,8,False,0.4,0.6,0.992,268633.0483,97601.2147,128.43,31.0617,501.652,9461.7087,962.4633,3000,1.0921,1.0921,,0.0,0.0,0.0
no_adaptation,500,10,9,False,0.6,1.0,0.9926,270095.6523,85340.5097,134.5967,34.8297,500.632,9077.482,897.1,3000,1.0761,1.0761,,0.0,0.0,0.0
no_adaptation,500,11,9,True,0.6,1.0,0.9921,269524.1102,84841.8536,134.6786,35.1806,500.6134,9050.763,896.9986,5000,1.0777,1.0777,,0.0,0.0,0.0
poolAndRewire,10,0,1,False,0.0,0.0,0.912,198298.8357,41660.6397,127.1803,39.5873,12.1293,239.4507,30.0237,3000,0.3604,,0.0266,0.2743,0.0434,3.0438
poolAndRewire,10,1,2,False,0.0,0.1,0.8327,211255.546,68078.0697,123.166,37.107,14.3223,322.621,35.4197,3000,0.3883,,0.0328,0.2862,0.0523,3.8883
poolAndRewire,10,2,3,False,0.1,0.1,0.7914,202187.75,55082.547,127.4847,39.117,12.7277,272.2317,31.3707,3000,0.3802,,0.0276,0.2866,0.0494,4.1058
poolAndRewire,10,3,3,True,0.1,0.1,0.789,212021.9752,54287.1932,131.6862,38.8176,12.6584,271.1652,30.909,5000,0.3833,,0.028,0.2879,0.0507,4.2547
poolAndRewire,10,4,4,False,0.1,0.2,0.677,211527.96,79427.972,123.475,36.3357,15.4873,365.6573,35.3667,3000,0.4006,,0.0398,0.2866,0.057,4.4157
poolAndRewire,10,5,5,False,0.2,0.3,0.6854,220900.408,70481.886,129.9197,37.5117,13.8957,317.2207,33.5697,3000,0.3908,,0.0323,0.2873,0.0541,4.5416
poolAndRewire,10,6,6,False,0.3,0.3,0.6196,230159.608,63185.304,135.1167,39.088,13.0253,286.026,30.7927,3000,0.3871,,0.0295,0.288,0.0526,4.6597
poolAndRewire,10,7,6,True,0.3,0.3,0.6161,215978.806,62916.8496,133.2666,38.6736,12.9662,285.2316,30.6576,5000,0.388,,0.0301,0.2867,0.0544,4.7897
poolAndRewire,10,8,7,False,0.3,0.4,0.4759,215541.6783,88649.2567,123.6783,35.06,16.0187,389.1847,35.1623,3000,0.4123,,0.0476,0.2863,0.0609,4.9305
poolAndRewire,10,9,8,False,0.4,0.6,0.4362,212994.5753,88551.7213,122.9267,35.0613,15.842,384.389,34.573,3000,0.4094,,0.0455,0.2861,0.0603,5.0459
poolAndRewire,10,10,9,False,0.6,1.0,0.3923,212440.6383,81643.556,127.068,36.6637,14.094,332.2847,32.4243,3000,0.3996,,0.0371,0.2866,0.0588,5.1551
