condition,drift_detected,edges_added,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,recalibrated,recall_at_k,repair_happened,total_edges
recal_disabled,True,7595,20,374.961053479279,1.8457465179963037,0.611525785413388,False,0.7692,True,101006
recal_disabled,True,8699,21,369.7558708317039,1.8019905980036128,0.6326676910614351,False,0.7862,True,101645
recal_disabled,True,8415,22,371.0259608412108,1.9081703659903724,0.6664426857532646,False,0.8104000000000001,True,101873
recal_disabled,True,7736,23,373.43967620649613,1.8743539339920972,0.6540320951614548,False,0.7866000000000001,True,102003
recal_disabled,True,7778,24,370.91396010258353,1.8607876080204733,0.6319888904930737,False,0.795,True,102303
recal_disabled,True,7171,25,368.5246755620981,1.9001773500058334,0.6257849540321301,False,0.7976,True,102461
recal_disabled,True,9078,26,372.974395857317,1.9507781000284012,0.6176191324491356,False,0.8092,True,103128
recal_disabled,True,7613,27,369.5399735784803,1.933697795990156,0.6455944627174077,False,0.8066,True,103332
recal_disabled,True,7423,28,371.5088348764619,1.8788011260039639,0.6333723324064017,False,0.8098000000000001,True,103412
recal_disabled,True,8824,29,370.7961515841359,1.8520510619855486,0.6185622928660676,False,0.7864,True,104284
recal_disabled,True,7898,30,373.98888717407675,1.8493287999881431,0.6546585633198294,False,0.7772,True,104301
recal_disabled,True,8581,31,373.06316531238843,1.8582148060086183,0.6192641070333347,False,0.7764000000000001,True,104648
recal_disabled,True,8332,32,374.1044438937247,1.8948850800225046,0.6337369301488969,False,0.7924,True,104874
recal_disabled,True,7793,33,372.8098155089207,1.9043257620069198,0.6142539119501742,False,0.7934000000000001,True,104890
recal_disabled,True,8545,34,375.44518762646413,1.9070611520146485,0.6769483438336708,False,0.7816000000000002,True,105286
recal_disabled,True,9248,35,373.30201405765735,1.9053204380034003,0.6423823000883211,False,0.791,True,105980
recal_disabled,True,7334,36,374.3880990671951,1.941015869990224,0.6606401921547816,False,0.8052,True,105997
recal_disabled,True,7181,37,369.877343693851,1.8485907220165245,0.6129502725758207,False,0.7926,True,105997
recal_disabled,True,8451,38,369.66590607640404,1.8698848120111506,0.6631112663175166,False,0.7857999999999999,True,106028
recal_disabled,True,7859,39,372.0117631156731,1.8661073920084164,0.6301865106647909,False,0.7878,True,106107
recal_disabled,True,7569,40,371.79716655763343,1.9633004460192751,0.6446570479882412,False,0.8092,True,106124
recal_disabled,True,7337,41,371.6733774442255,1.931884863995947,0.6641376314037561,False,0.792,True,106141
recal_disabled,True,6912,42,368.66164149744736,1.9097297760017682,0.5916989840879274,False,0.8076,True,106141
recal_disabled,True,8603,43,374.00516389699817,1.911611712013837,0.6643350231591252,False,0.789,True,106488
recal_disabled,True,7515,44,377.3219600615121,1.9643036400084384,0.6364919135931617,False,0.8108,True,106488
recal_disabled,True,8211,45,374.04405893726346,1.8822565780137666,0.6393715035131146,False,0.801,True,106636
recal_disabled,True,8037,46,370.57470825968556,1.966919044003589,0.6495759284302252,False,0.8038000000000001,True,106683
recal_disabled,True,7144,47,376.66729812967475,1.9664308560022619,0.6414709720863332,False,0.7862,True,106683
recal_disabled,True,7122,48,368.68461040722474,1.9199952800117899,0.621535436669236,False,0.8068,True,106731
recal_disabled,True,9240,49,370.58352201974765,1.940851187973749,0.6335708051478408,False,0.8018,True,107318
recal_disabled,True,8330,50,374.7215717092036,1.9346959640097339,0.6179357446889209,False,0.7942,True,107431
recal_disabled,True,7875,51,373.56045998140775,2.0449386600230355,0.6265767401650293,False,0.8158000000000001,True,107448
recal_disabled,True,7804,52,370.64315885400504,1.9832216000068001,0.6480808879205615,False,0.7974,True,107547
recal_disabled,True,8778,53,372.5929346074234,1.8945719139883295,0.6253938581636563,False,0.778,True,107626
recal_disabled,True,7819,54,377.80696935832,1.973264514002949,0.6135026774920601,False,0.8046,True,108009
recal_disabled,True,7062,55,376.78621297446045,2.0001155700010713,0.6465208152117954,False,0.7908000000000001,True,108040
recal_disabled,True,8104,56,374.2345119265759,1.872015660017496,0.6567648792654551,False,0.7976,True,108119
recal_disabled,True,7823,57,373.9544609040091,1.9126922900031786,0.624303896364073,False,0.8126,True,108170
recal_disabled,True,8542,58,381.0889360403485,1.999499711993849,0.6266788045181328,False,0.819,True,108218
