strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
poolAndRewire,20,12.0,0.5539,17672.7365,11322.0071,104.873,26.874,26.535,564.589,63.907,1000
poolAndRewire,20,16.0,0.4168,20232.1124,14401.2647,92.843,22.583,26.491,583.164,63.204,1000
poolAndRewire,50,0.0,0.9603,16416.2501,6362.8884,133.45,35.286,52.81,916.633,113.049,1000
poolAndRewire,50,1.0,0.9586,16392.9269,6380.3364,133.762,35.402,52.817,917.58,113.423,1000
poolAndRewire,50,2.0,0.951,16449.1033,6594.0178,133.029,35.057,53.261,928.037,116.247,1000
poolAndRewire,50,3.0,0.9427,16584.7793,6872.7818,132.949,35.277,53.434,935.901,120.158,1000
poolAndRewire,50,4.0,0.9327,15802.0502,7110.1635,129.678,35.391,53.851,948.961,122.878,1000
poolAndRewire,50,6.0,0.907,14804.9173,7765.2027,123.826,35.467,54.92,986.779,128.115,1000
poolAndRewire,50,8.0,0.8462,15869.1567,8768.9158,118.517,31.646,56.29,1040.256,137.108,1000
poolAndRewire,50,10.0,0.7589,16814.0807,10023.503,110.593,29.054,58.038,1110.221,145.301,1000
poolAndRewire,50,12.0,0.6802,17672.7365,11322.0071,104.873,26.874,57.717,1137.308,146.501,1000
poolAndRewire,50,16.0,0.5467,20232.1124,14401.2647,92.843,22.583,57.744,1199.283,150.795,1000
poolAndRewire,100,0.0,0.9796,16416.2501,6362.8884,133.45,35.286,102.241,1613.952,184.221,1000
poolAndRewire,100,1.0,0.9775,16392.9269,6380.3364,133.762,35.402,102.315,1617.394,185.025,1000
poolAndRewire,100,2.0,0.9706,16449.1033,6594.0178,133.029,35.057,102.674,1628.769,189.383,1000
poolAndRewire,100,3.0,0.967,16584.7793,6872.7818,132.949,35.277,103.009,1641.823,195.681,1000
poolAndRewire,100,4.0,0.9638,15802.0502,7110.1635,129.678,35.391,103.605,1660.61,201.464,1000
poolAndRewire,100,6.0,0.9447,14804.9173,7765.2027,123.826,35.467,105.286,1729.336,215.35,1000
poolAndRewire,100,8.0,0.9021,15869.1567,8768.9158,118.517,31.646,106.779,1806.221,233.998,1000
poolAndRewire,100,10.0,0.8361,16814.0807,10023.503,110.593,29.054,109.335,1920.502,254.727,1000
poolAndRewire,100,12.0,0.7595,17672.7365,11322.0071,104.873,26.874,108.948,1990.513,261.529,1000
poolAndRewire,100,16.0,0.6484,20232.1124,14401.2647,92.843,22.583,107.662,2107.352,274.57,1000
poolAndRewire,200,0.0,0.9894,16416.2501,6362.8884,133.45,35.286,201.799,2859.018,309.445,1000
poolAndRewire,200,1.0,0.9873,16392.9269,6380.3364,133.762,35.402,201.846,2863.715,310.804,1000
poolAndRewire,200,2.0,0.9845,16449.1033,6594.0178,133.029,35.057,202.318,2885.032,318.464,1000
poolAndRewire,200,3.0,0.9823,16584.7793,6872.7818,132.949,35.277,202.758,2906.216,326.721,1000
poolAndRewire,200,4.0,0.9821,15802.0502,7110.1635,129.678,35.391,203.71,2941.433,336.434,1000
poolAndRewire,200,6.0,0.9662,14804.9173,7765.2027,123.826,35.467,205.769,3050.043,361.904,1000
poolAndRewire,200,8.0,0.9305,15869.1567,8768.9158,118.517,31.646,206.978,3177.208,394.959,1000
poolAndRewire,200,10.0,0.8816,16814.0807,10023.503,110.593,29.054,210.509,3373.479,435.36,1000
poolAndRewire,200,12.0,0.8216,17672.7365,11322.0071,104.873,26.874,209.315,3506.104,455.424,1000
poolAndRewire,200,16.0,0.7342,20232.1124,14401.2647,92.843,22.583,208.649,3801.484,487.354,1000
poolAndRewire,500,0.0,0.9968,16416.2501,6362.8884,133.45,35.286,501.375,6075.744,633.135,1000
poolAndRewire,500,1.0,0.996,16392.9269,6380.3364,133.762,35.402,501.554,6093.335,636.515,1000
poolAndRewire,500,2.0,0.9949,16449.1033,6594.0178,133.029,35.057,502.953,6144.639,649.264,1000
poolAndRewire,500,3.0,0.9964,16584.7793,6872.7818,132.949,35.277,504.214,6198.186,664.221,1000
poolAndRewire,500,4.0,0.9906,15802.0502,7110.1635,129.678,35.391,503.603,6252.236,679.001,1000
poolAndRewire,500,6.0,0.9828,14804.9173,7765.2027,123.826,35.467,506.72,6475.962,730.514,1000
poolAndRewire,500,8.0,0.9631,15869.1567,8768.9158,118.517,31.646,509.938,6778.119,796.854,1000
poolAndRewire,500,10.0,0.9211,16814.0807,10023.503,110.593,29.054,512.247,7168.153,876.054,1000
poolAndRewire,500,12.0,0.8827,17672.7365,11322.0071,104.873,26.874,513.641,7579.632,937.075,1000
poolAndRewire,500,16.0,0.8181,20232.1124,14401.2647,92.843,22.583,510.076,8306.781,1016.751,1000
