strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option1_directed_edges,3.0,10,0.81,17640.7679,6654.3998,136.7725,35.0712,13.8112,285.0725,37.0175,800
option1_directed_edges,3.0,20,0.8658,13431.6462,13431.6462,0.0,0.0,32.31,666.8612,156.7288,800
option1_directed_edges,3.0,50,0.9384,13263.7628,13263.7628,0.0,0.0,62.2112,1167.0363,266.1288,800
option1_directed_edges,3.0,100,0.9661,13263.7628,13263.7628,0.0,0.0,111.7062,1887.7262,366.5538,800
option1_directed_edges,3.0,200,0.983,13263.7628,13263.7628,0.0,0.0,211.4562,3180.195,512.37,800
option1_directed_edges,3.0,500,0.9924,13263.7628,13263.7628,0.0,0.0,511.0112,6518.07,859.7138,800
option1_directed_edges,4.0,10,0.7809,18119.8287,7048.7469,136.205,34.7338,14.04,290.085,37.405,800
option1_directed_edges,4.0,20,0.848,12993.1081,12993.1081,0.0,0.0,33.105,693.6525,154.4562,800
option1_directed_edges,4.0,50,0.921,12993.1081,12993.1081,0.0,0.0,62.805,1185.25,264.9575,800
option1_directed_edges,4.0,100,0.9598,12993.1081,12993.1081,0.0,0.0,112.9388,1924.865,372.8612,800
option1_directed_edges,4.0,200,0.9809,12993.1081,12993.1081,0.0,0.0,213.0188,3227.5138,526.9062,800
option1_directed_edges,4.0,500,0.9909,12993.1081,12993.1081,0.0,0.0,512.2175,6591.9038,883.9688,800
option1_directed_edges,6.0,10,0.7165,19316.4492,7868.0748,137.1425,34.6112,14.495,301.0412,37.515,800
option1_directed_edges,6.0,20,0.782,12690.2976,12690.2976,0.0,0.0,33.4588,704.9312,143.1113,800
option1_directed_edges,6.0,50,0.8795,12690.2976,12690.2976,0.0,0.0,63.5838,1213.38,256.3975,800
option1_directed_edges,6.0,100,0.9375,12690.2976,12690.2976,0.0,0.0,114.5925,1983.37,374.8038,800
option1_directed_edges,6.0,200,0.9682,12690.2976,12690.2976,0.0,0.0,214.66,3314.1088,541.8562,800
option1_directed_edges,6.0,500,0.984,12690.2976,12690.2976,0.0,0.0,513.3638,6761.3988,920.2362,800
option1_directed_edges,8.0,10,0.624,20831.0682,8944.492,137.1875,33.5875,14.8962,312.9462,37.5238,800
option1_directed_edges,8.0,20,0.6951,12705.4857,12705.4857,0.0,0.0,33.5175,713.34,129.68,800
option1_directed_edges,8.0,50,0.8331,12705.4857,12705.4857,0.0,0.0,65.0012,1259.0288,246.6862,800
option1_directed_edges,8.0,100,0.8949,12705.4857,12705.4857,0.0,0.0,114.9112,2026.9862,372.3,800
option1_directed_edges,8.0,200,0.941,12705.4857,12705.4857,0.0,0.0,215.4925,3422.4588,553.7362,800
option1_directed_edges,8.0,500,0.971,12705.4857,12705.4857,0.0,0.0,516.3188,7014.9462,962.4925,800
option1_directed_edges,10.0,10,0.4365,12769.3643,12769.3643,0.0,0.0,20.1162,457.235,61.9162,800
option1_directed_edges,10.0,20,0.584,13038.6725,13038.6725,0.0,0.0,33.0375,711.4838,116.0762,800
option1_directed_edges,10.0,50,0.7461,13038.6725,13038.6725,0.0,0.0,65.3525,1288.7775,232.88,800
option1_directed_edges,10.0,100,0.8236,13038.6725,13038.6725,0.0,0.0,115.95,2103.0325,367.5362,800
option1_directed_edges,10.0,200,0.8936,13038.6725,13038.6725,0.0,0.0,217.6125,3569.3575,566.285,800
