condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,64,14,0.0,0.14642994198948145,0.0,0,0,0,0.17081861725233582,6829.204371820576,0.869,False
static,False,128,14,0.0,0.2795413660351187,0.0,0,0,0,0.11568560843942517,3577.2880922187746,0.9322,False
static,False,32,15,0.0,0.09301367402076721,0.0,0,0,0,0.21404401416531132,10751.10741004306,0.7746000000000001,False
static,False,64,15,0.0,0.1559451639186591,0.0,0,0,0,0.1574642816641285,6412.510493250047,0.875,False
static,False,128,15,0.0,0.2902046460658312,0.0,0,0,0,0.11110553541565785,3445.844212201744,0.9334000000000001,False
static,False,32,16,0.0,0.09157926798798144,0.0,0,0,0,0.2129999061032657,10919.502000509949,0.7847999999999999,False
static,False,64,16,0.0,0.15165884396992624,0.0,0,0,0,0.17562459964367177,6593.746687125604,0.874,False
static,False,128,16,0.0,0.2819098341278732,0.0,0,0,0,0.11554029600100565,3547.233473048705,0.9362,False
static,False,32,17,0.0,0.09377145417965949,0.0,0,0,0,0.21532301316858818,10664.22621626482,0.774,False
static,False,64,17,0.0,0.15713652386330068,0.0,0,0,0,0.15677691156544704,6363.892845624738,0.879,False
static,False,128,17,0.0,0.28891103784553707,0.0,0,0,0,0.10580661605022627,3461.273087581508,0.9364000000000001,False
static,False,32,18,0.0,0.09128774795681238,0.0,0,0,0,0.22120433992125924,10954.37254595319,0.7692,False
