condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,n_promoted_nodes,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,14,0.0,0.08903470612131059,0.0,0,0,0,0.20700714963498243,11231.575231320368,0.8298,False
static,False,64,14,0.0,0.150472620036453,0.0,0,0,0,0.1445317958097802,6645.727307451304,0.9084000000000001,False
static,False,128,14,0.0,0.2839423359837383,0.0,0,0,0,0.08900696601952006,3521.8418434694822,0.9576000000000001,False
static,False,32,15,0.0,0.09436105214990675,0.0,0,0,0,0.20490183015288077,10597.592727255194,0.8218,False
static,False,64,15,0.0,0.15346446400508285,0.0,0,0,0,0.1381991316904705,6516.166504624024,0.911,False
static,False,128,15,0.0,0.28619735804386437,0.0,0,0,0,0.08991796261037056,3494.092352336578,0.9574000000000001,False
static,False,32,16,0.0,0.0940705118700862,0.0,0,0,0,0.20811256569462597,10630.323787129231,0.8054000000000001,False
static,False,64,16,0.0,0.1493202440906316,0.0,0,0,0,0.15758730913369898,6697.015572738005,0.8932,False
static,False,128,16,0.0,0.30185931804589927,0.0,0,0,0,0.10435995400535591,3312.801494661645,0.947,False
static,False,32,17,0.0,0.092335106106475,0.0,0,0,0,0.22197152970595124,10830.116974651692,0.7807999999999999,False
static,False,64,17,0.0,0.15876245591789484,0.0,0,0,0,0.16019725340966368,6298.718385391804,0.8822000000000001,False
static,False,128,17,0.0,0.28749905386939645,0.0,0,0,0,0.10331001887522817,3478.2723161735157,0.9448000000000001,False
