condition,edge_count,ef,epoch,mean_hardonly_static_dist,mean_source_query_dist,mean_static_topk_dist,n_hard_queries,recall,recall_adaptive_hardonly,recall_static_hardonly
adaptive_improved,136124,128,4,257.1722733815511,256.9489491780599,211.0316925048828,120,0.9876,0.8641666666666669,0.8366666666666667
adaptive_improved,163132,32,5,256.126990234375,255.91365808105468,210.75259399414062,125,0.9054000000000001,0.8512000000000003,0.8208000000000002
adaptive_improved,163132,64,5,256.126990234375,255.91365808105468,210.75259399414062,125,0.9618,0.8512000000000003,0.8208000000000002
adaptive_improved,163132,128,5,256.126990234375,255.91365808105468,210.75259399414062,125,0.9892000000000001,0.8512000000000003,0.8208000000000002
adaptive_improved,190376,32,6,272.89783925858757,272.73184858049666,232.87026977539062,126,0.9008000000000002,0.8619047619047621,0.8349206349206351
adaptive_improved,190376,64,6,272.89783925858757,272.73184858049666,232.87026977539062,126,0.9646,0.8619047619047621,0.8349206349206351
adaptive_improved,190376,128,6,272.89783925858757,272.73184858049666,232.87026977539062,126,0.989,0.8619047619047621,0.8349206349206351
adaptive_improved,219310,32,7,312.5456738827834,312.37709022635846,284.83990478515625,134,0.8776000000000002,0.8395522388059702,0.8186567164179104
adaptive_improved,219310,64,7,312.5456738827834,312.37709022635846,284.83990478515625,134,0.9486000000000001,0.8395522388059702,0.8186567164179104
adaptive_improved,219310,128,7,312.5456738827834,312.37709022635846,284.83990478515625,134,0.9832000000000001,0.8395522388059702,0.8186567164179104
adaptive_improved,254647,32,8,372.7277983683019,372.48821478533597,350.1708679199219,163,0.8192,0.7687116564417178,0.7368098159509202
adaptive_improved,254647,64,8,372.7277983683019,372.48821478533597,350.1708679199219,163,0.9128,0.7687116564417178,0.7368098159509202
adaptive_improved,254647,128,8,372.7277983683019,372.48821478533597,350.1708679199219,163,0.9658000000000001,0.7687116564417178,0.7368098159509202
adaptive_improved,297593,32,9,432.93725769963095,432.58219227239715,416.3681945800781,199,0.747,0.6974874371859298,0.6522613065326633
adaptive_improved,297593,64,9,432.93725769963095,432.58219227239715,416.3681945800781,199,0.8566,0.6974874371859298,0.6522613065326633
adaptive_improved,297593,128,9,432.93725769963095,432.58219227239715,416.3681945800781,199,0.9304000000000001,0.6974874371859298,0.6522613065326633
adaptive_improved,344524,32,10,430.27147316721687,429.5801663018961,417.15911865234375,226,0.7732,0.7345132743362832,0.6575221238938054
adaptive_improved,344524,64,10,430.27147316721687,429.5801663018961,417.15911865234375,226,0.8778,0.7345132743362832,0.6575221238938054
adaptive_improved,344524,128,10,430.27147316721687,429.5801663018961,417.15911865234375,226,0.9388000000000001,0.7345132743362832,0.6575221238938054
adaptive_improved,388665,32,11,430.9184758112981,430.145514855018,416.5924987792969,221,0.8028000000000001,0.7918552036199094,0.6778280542986425
adaptive_improved,388665,64,11,430.9184758112981,430.145514855018,416.5924987792969,221,0.9016000000000002,0.7918552036199094,0.6778280542986425
adaptive_improved,388665,128,11,430.9184758112981,430.145514855018,416.5924987792969,221,0.9572,0.7918552036199094,0.6778280542986425
adaptive_improved,438002,32,12,430.5090638403799,429.57478051279105,417.0293884277344,255,0.8316,0.8043137254901962,0.6709803921568627
adaptive_improved,438002,64,12,430.5090638403799,429.57478051279105,417.0293884277344,255,0.9128000000000001,0.8043137254901962,0.6709803921568627
adaptive_improved,438002,128,12,430.5090638403799,429.57478051279105,417.0293884277344,255,0.9608000000000001,0.8043137254901962,0.6709803921568627
adaptive_improved,482924,32,13,429.49804662485593,428.556176357582,416.7089538574219,244,0.835,0.8139344262295083,0.6700819672131147
adaptive_improved,482924,64,13,429.49804662485593,428.556176357582,416.7089538574219,244,0.9104000000000001,0.8139344262295083,0.6700819672131147
adaptive_improved,482924,128,13,429.49804662485593,428.556176357582,416.7089538574219,244,0.9588000000000001,0.8139344262295083,0.6700819672131147
adaptive_improved,473299,32,14,432.60796128310164,431.29208783566696,417.6900329589844,231,0.844,0.8233766233766234,0.645021645021645
adaptive_improved,473299,64,14,432.60796128310164,431.29208783566696,417.6900329589844,231,0.9168000000000001,0.8233766233766234,0.645021645021645
adaptive_improved,473299,128,14,432.60796128310164,431.29208783566696,417.6900329589844,231,0.9616,0.8233766233766234,0.645021645021645
adaptive_improved,462443,32,15,426.3471172382305,425.0949317304603,413.6968994140625,231,0.8548000000000001,0.8606060606060605,0.6757575757575758
adaptive_improved,462443,64,15,426.3471172382305,425.0949317304603,413.6968994140625,231,0.9278000000000001,0.8606060606060605,0.6757575757575758
