strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option1_directed_edges,3.0,500,0.9928,15269.1046,15269.1046,0.0,0.0,510.0512,6489.2062,836.4975,800
option1_directed_edges,4.0,10,0.7897,18296.5852,7085.9992,134.8225,34.575,14.0162,287.9325,37.3662,800
option1_directed_edges,4.0,20,0.8511,15480.2035,15480.2035,0.0,0.0,32.0625,660.6888,161.26,800
option1_directed_edges,4.0,50,0.9252,15480.2035,15480.2035,0.0,0.0,61.92,1154.9275,262.8538,800
option1_directed_edges,4.0,100,0.9671,15480.2035,15480.2035,0.0,0.0,112.4988,1897.0,359.5975,800
option1_directed_edges,4.0,200,0.9824,15480.2035,15480.2035,0.0,0.0,212.07,3194.6663,505.1275,800
option1_directed_edges,4.0,500,0.991,15480.2035,15480.2035,0.0,0.0,510.97,6557.165,858.2338,800
option1_directed_edges,6.0,10,0.7098,19454.7008,7979.0002,133.4188,34.58,14.7862,306.925,38.1162,800
option1_directed_edges,6.0,20,0.7859,16140.9004,16140.9004,0.0,0.0,32.5262,674.9462,159.3088,800
option1_directed_edges,6.0,50,0.8859,16140.9004,16140.9004,0.0,0.0,62.7788,1184.9725,265.2513,800
option1_directed_edges,6.0,100,0.9371,16140.9004,16140.9004,0.0,0.0,113.4862,1950.4575,370.2725,800
option1_directed_edges,6.0,200,0.9684,16140.9004,16140.9004,0.0,0.0,213.99,3290.815,527.365,800
option1_directed_edges,6.0,500,0.9864,16140.9004,16140.9004,0.0,0.0,513.855,6748.485,902.95,800
option1_directed_edges,8.0,10,0.62,20930.8148,9140.6781,129.8625,33.2338,15.2738,321.05,38.8175,800
option1_directed_edges,8.0,20,0.7072,17119.5959,17119.5959,0.0,0.0,32.9362,691.7612,156.3325,800
option1_directed_edges,8.0,50,0.8332,17119.5959,17119.5959,0.0,0.0,63.785,1227.5125,267.8038,800
option1_directed_edges,8.0,100,0.8975,17119.5959,17119.5959,0.0,0.0,114.2625,2006.375,380.7388,800
