query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
147,0.0,0.4,215.34707641601562,215.34707641601562,25,201,4898,578,201
148,0.0,0.3,288.7912292480469,193.5212860107422,76,201,4887,597,201
149,0.0,0.8,207.60159301757812,184.08070373535156,101,201,4880,496,201
150,0.0,0.6,273.7662048339844,181.8646240234375,80,201,4845,530,201
151,0.0,0.7,247.78782653808594,173.5404815673828,115,205,4779,522,205
152,0.0,0.8,289.3811340332031,173.56785583496094,82,200,4848,545,200
153,0.0,0.8,287.3002624511719,198.2066650390625,72,200,4894,592,200
154,0.0,0.8,250.645751953125,174.5850830078125,95,201,4831,567,201
155,0.0,0.4,246.63540649414062,186.1978759765625,121,200,4818,582,200
156,0.0,0.8,225.17767333984375,158.70159912109375,41,203,4965,574,203
157,0.0,0.8,260.935791015625,190.4184112548828,57,202,4870,559,202
158,0.0,0.7,232.07489013671875,153.86740112304688,66,200,4679,502,200
159,0.0,0.8,276.91363525390625,203.20652770996094,73,207,4999,528,207
160,0.0,0.8,237.52713012695312,178.25347900390625,93,200,4786,492,200
161,0.0,0.5,285.17437744140625,181.11920166015625,92,203,4893,558,203
162,0.0,0.7,245.69808959960938,175.34121704101562,56,201,4864,540,201
163,0.0,0.8,230.63107299804688,199.32797241210938,77,201,4740,531,201
164,0.0,1.0,287.7466735839844,182.58905029296875,76,202,4847,542,202
165,0.0,0.5,265.734375,189.87966918945312,68,201,4860,548,201
166,0.0,0.7,221.1075897216797,179.98484802246094,76,200,4861,541,200
167,0.0,1.0,263.69549560546875,176.02293395996094,146,201,4896,519,201
168,0.0,0.5,262.76007080078125,180.59725952148438,92,202,4933,553,202
169,0.0,0.7,228.98507690429688,195.40892028808594,60,201,4773,561,201
170,0.0,1.0,249.7189178466797,167.4240264892578,74,202,4798,522,202
171,0.0,0.8,281.38165283203125,198.4588623046875,73,203,4907,587,203
172,0.0,0.7,271.2535400390625,180.9230499267578,74,202,4874,592,202
173,0.0,1.0,304.1095886230469,199.80645751953125,82,200,4789,539,200
174,0.0,0.9,267.35638427734375,202.4588623046875,57,202,4826,536,202
175,0.0,0.7,275.3876037597656,189.51043701171875,76,203,4943,592,203
176,0.0,0.5,287.341796875,191.78009033203125,75,202,4789,551,202
177,0.0,0.7,345.77154541015625,215.5867156982422,65,201,4836,539,201
178,0.0,0.8,234.5552215576172,186.25564575195312,76,201,4917,550,201
179,0.0,0.8,232.30535888671875,153.50975036621094,111,201,4745,531,201
180,0.0,0.6,269.1069641113281,180.46148681640625,91,201,4715,555,201
181,0.0,0.8,274.6925964355469,173.03262329101562,123,204,5005,544,204
182,0.0,0.7,236.75865173339844,184.33656311035156,85,201,4973,544,201
183,0.0,0.9,208.30084228515625,133.1120147705078,60,200,4901,555,200
184,0.0,0.7,239.33819580078125,194.071044921875,65,203,4972,596,203
185,0.0,0.7,259.85577392578125,175.18563842773438,87,201,4822,545,201
186,0.0,0.6,282.9827575683594,223.2506103515625,72,202,4834,568,202
187,0.0,0.7,266.7421875,177.3787841796875,87,200,4798,508,200
188,0.0,0.7,226.96665954589844,159.30613708496094,76,203,4989,519,203
189,0.0,0.8,240.1663055419922,163.7244415283203,123,201,4856,538,201
190,0.0,0.8,249.92074584960938,180.61402893066406,124,202,4804,527,202
191,0.0,0.6,246.76458740234375,192.28594970703125,89,200,4878,561,200
192,0.0,0.8,327.1329650878906,197.76702880859375,73,201,4713,562,201
193,0.0,0.5,249.39712524414062,176.6533660888672,106,201,4871,531,201
194,0.0,0.8,249.50186157226562,160.0151824951172,96,201,4960,562,201
195,0.0,0.6,273.6022033691406,210.5299072265625,78,202,4854,540,202
196,0.0,0.7,264.0135803222656,174.57791137695312,116,202,4853,591,202
197,0.0,0.7,265.6012878417969,168.39158630371094,87,201,4951,596,201
198,0.0,0.9,286.5303039550781,160.02975463867188,68,204,4972,532,204
199,0.0,0.8,255.984375,186.66676330566406,92,203,4942,609,203
0,0.5,0.7,263.77398681640625,186.70614624023438,108,202,4894,575,202
1,0.5,0.7,274.4251403808594,201.5300750732422,82,202,4910,585,202
2,0.5,0.8,251.57562255859375,189.37901306152344,60,203,4911,570,203
3,0.5,0.7,253.5325927734375,195.96380615234375,67,205,4897,528,205
4,0.5,0.4,295.3053283691406,211.69847106933594,61,200,4765,519,200
5,0.5,0.7,247.3252410888672,201.6866912841797,82,203,4908,573,203
6,0.5,0.5,284.65240478515625,212.2748565673828,60,200,4772,565,200
7,0.5,0.4,304.9697265625,204.2880859375,67,208,5040,585,208
8,0.5,0.9,313.1733093261719,224.84095764160156,44,204,4935,591,204
9,0.5,0.6,278.917236328125,214.2003936767578,44,202,4840,572,202
10,0.5,0.7,290.60986328125,223.85621643066406,81,207,4970,570,207
11,0.5,0.7,307.5277404785156,215.59747314453125,60,206,4949,516,206
12,0.5,0.5,256.0612487792969,215.56195068359375,90,202,5015,549,202
13,0.5,0.9,308.88238525390625,203.44378662109375,60,200,4807,551,200
14,0.5,0.7,287.5832824707031,214.17918395996094,74,208,4987,569,208
15,0.5,0.6,249.3924560546875,219.6437225341797,74,201,4926,568,201
16,0.5,0.5,308.462158203125,201.7760772705078,59,202,4910,565,202
17,0.5,0.8,353.1395263671875,230.04005432128906,74,201,4874,543,201
18,0.5,0.8,231.77394104003906,192.55294799804688,73,201,4891,573,201
19,0.5,0.4,303.75213623046875,224.06646728515625,59,210,5068,573,210
20,0.5,0.2,260.7763977050781,191.37103271484375,66,200,4852,552,200
21,0.5,0.5,275.97314453125,216.44114685058594,59,201,4860,553,201
22,0.5,0.8,211.9054718017578,211.9054718017578,25,201,4792,563,201
