query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
105,in_distribution,0.7,281.7415466308594,174.0789031982422,93,200,4811,536,200,0,48,28,17,0,0
106,in_distribution,0.8,253.5828399658203,155.59666442871094,133,200,4960,528,200,0,96,16,21,0,0
107,in_distribution,0.8,304.75823974609375,200.31732177734375,97,206,4959,563,206,0,47,30,20,0,0
108,in_distribution,0.6,249.63327026367188,169.97654724121094,73,206,5047,555,206,0,16,32,25,0,0
109,in_distribution,0.8,234.2880401611328,168.29550170898438,84,201,4715,534,201,0,48,16,20,0,0
110,in_distribution,0.6,209.51524353027344,165.42922973632812,73,214,5044,542,214,0,32,32,9,0,0
111,in_distribution,0.9,282.7403564453125,187.62481689453125,76,203,4924,551,203,0,16,28,32,0,0
112,in_distribution,0.8,242.7821502685547,164.9309539794922,70,200,4836,567,200,0,16,29,25,0,0
113,in_distribution,0.7,279.5534362792969,161.44708251953125,70,200,4803,553,200,0,43,8,19,0,0
114,in_distribution,1.0,199.61524963378906,153.08255004882812,90,201,4826,542,201,0,16,31,43,0,0
115,in_distribution,0.6,287.0499572753906,166.48524475097656,118,204,4969,546,204,0,80,16,22,0,0
116,in_distribution,0.8,266.4609375,188.40843200683594,109,200,4869,527,200,0,48,36,25,0,0
117,in_distribution,0.6,253.5777587890625,169.6276092529297,78,200,4812,551,200,0,48,12,18,0,0
118,in_distribution,0.8,265.62451171875,161.5428466796875,109,201,4879,555,201,0,80,12,17,0,0
119,in_distribution,0.7,321.4545593261719,195.9939727783203,77,202,4835,515,202,0,15,44,18,0,0
120,in_distribution,0.9,279.54443359375,156.56646728515625,88,201,4995,508,201,0,32,28,28,0,0
121,in_distribution,0.8,222.91619873046875,182.19766235351562,70,216,5176,539,216,0,32,16,22,0,0
122,in_distribution,0.8,252.77508544921875,160.8440704345703,124,201,4879,549,201,0,48,55,21,0,0
123,in_distribution,0.8,237.66551208496094,168.97994995117188,82,201,4925,576,201,0,16,26,40,0,0
124,in_distribution,0.8,290.29345703125,184.46359252929688,58,200,4797,536,200,0,32,15,11,0,0
125,in_distribution,0.6,317.0718688964844,183.00535583496094,73,203,4878,535,203,0,32,31,10,0,0
126,in_distribution,0.9,263.2095947265625,190.46548461914062,88,200,4695,524,200,0,32,28,28,0,0
127,in_distribution,0.7,245.0093231201172,186.59690856933594,58,204,4870,603,204,0,16,25,17,0,0
128,in_distribution,0.7,208.88307189941406,166.9742431640625,44,201,4795,519,201,0,16,11,17,0,0
129,in_distribution,0.6,263.7344665527344,173.136474609375,54,201,4924,548,201,0,16,16,22,0,0
130,in_distribution,0.6,273.9297790527344,206.809326171875,73,201,4961,562,201,0,32,32,9,0,0
131,in_distribution,0.8,247.59637451171875,178.9974822998047,87,202,4944,543,202,0,16,45,26,0,0
132,in_distribution,0.8,244.1036376953125,166.17648315429688,103,200,4906,537,200,0,48,25,30,0,0
133,in_distribution,0.7,245.6793670654297,152.88638305664062,98,201,4848,515,201,0,32,29,37,0,0
134,in_distribution,0.6,267.0433654785156,181.17327880859375,46,200,4901,604,200,0,16,12,18,0,0
135,in_distribution,0.7,271.23529052734375,149.78872680664062,116,201,4919,540,201,0,32,75,9,0,0
