query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
87,0.0,0.6,267.18316650390625,181.53871154785156,64,200,4913,547,200,0,16,16,32,0,0
88,0.0,0.8,260.1509704589844,183.12353515625,79,200,4813,517,200,0,31,34,14,0,0
89,0.0,0.7,284.0450134277344,175.2688751220703,65,200,4785,494,200,0,16,31,18,0,0
90,0.0,0.9,275.4136657714844,189.10333251953125,87,208,5060,550,208,0,32,28,27,0,0
91,0.0,0.7,283.4463806152344,174.50303649902344,43,201,4938,604,201,0,16,15,12,0,0
92,0.0,0.9,260.95245361328125,187.48854064941406,87,201,4787,528,201,0,32,31,24,0,0
93,0.0,0.9,233.14768981933594,170.6189422607422,75,204,5022,552,204,0,32,31,12,0,0
94,0.0,0.5,289.64715576171875,198.0203857421875,51,202,4888,561,202,0,16,12,23,0,0
95,0.0,0.7,272.6055603027344,158.161376953125,135,201,4874,528,201,0,48,45,42,0,0
96,0.0,1.0,233.0034637451172,133.901123046875,146,201,4897,515,201,0,64,46,36,0,0
97,0.0,0.7,244.295654296875,161.78158569335938,91,200,4986,555,200,0,48,31,12,0,0
98,0.0,0.6,238.1039581298828,177.97598266601562,82,200,4910,548,200,0,32,16,34,0,0
99,0.0,0.4,245.76805114746094,176.9083251953125,75,203,4968,545,203,0,32,27,16,0,0
100,0.0,0.8,257.6386413574219,170.6398468017578,75,201,4911,536,201,0,16,47,12,0,0
101,0.0,1.0,251.50804138183594,164.4488067626953,43,200,4756,489,200,0,16,11,16,0,0
102,0.0,0.9,293.8660583496094,198.9432373046875,101,201,4928,600,201,0,47,39,15,0,0
103,0.0,0.9,257.35394287109375,195.67564392089844,59,202,4925,494,202,0,16,27,16,0,0
104,0.0,0.8,274.5644836425781,183.3427276611328,95,201,4871,557,201,0,32,32,31,0,0
105,0.0,0.8,286.4012451171875,203.65675354003906,68,202,4807,483,202,0,16,32,20,0,0
106,0.0,0.9,259.81671142578125,201.9243927001953,59,205,4838,532,205,0,16,31,12,0,0
107,0.0,0.8,268.47662353515625,183.5808868408203,86,201,4846,555,201,0,48,27,11,0,0
108,0.0,0.5,263.2876281738281,185.70474243164062,64,215,5154,518,215,0,15,32,17,0,0
109,0.0,0.5,289.85394287109375,194.75726318359375,97,201,4931,574,201,0,16,63,18,0,0
110,0.0,0.4,262.2841796875,172.0751953125,85,204,4887,556,204,0,32,46,7,0,0
111,0.0,0.5,216.5684814453125,154.6394805908203,84,202,5012,579,202,0,32,45,7,0,0
112,0.0,0.6,230.1678009033203,194.98892211914062,43,202,4860,595,202,0,16,15,12,0,0
113,0.0,0.7,298.78326416015625,185.4067840576172,91,202,4931,540,202,0,48,31,12,0,0
114,0.0,0.8,259.4706115722656,182.52438354492188,80,202,4913,549,202,0,16,46,18,0,0
115,0.0,0.6,257.5705871582031,189.0266876220703,47,201,4880,558,201,0,16,16,15,0,0
116,0.0,0.7,240.6634063720703,190.23159790039062,47,201,4904,503,201,0,21,24,2,0,0
117,0.0,0.7,251.8260498046875,193.4052734375,103,200,4869,534,200,0,32,47,24,0,0
118,0.0,0.6,308.90948486328125,173.0422821044922,86,200,4803,532,200,0,16,50,20,0,0
119,0.0,0.9,277.12603759765625,168.1148681640625,78,200,4875,529,200,0,16,16,46,0,0
120,0.0,0.5,282.3517761230469,176.608642578125,85,201,4737,546,201,0,16,62,7,0,0
121,0.0,0.6,284.1060485839844,194.48544311523438,113,200,4780,523,200,0,32,57,24,0,0
122,0.0,0.7,339.4107971191406,232.04254150390625,53,206,5000,553,206,0,32,14,7,0,0
123,0.0,0.6,268.3988342285156,197.03639221191406,49,204,4857,531,204,0,16,14,19,0,0
124,0.0,0.8,265.3486328125,171.8711395263672,80,201,4866,569,201,0,16,46,18,0,0
125,0.0,1.0,224.114990234375,150.26390075683594,75,200,4808,545,200,0,16,47,12,0,0
126,0.0,0.6,235.635986328125,159.6341552734375,65,200,4779,546,200,0,32,16,17,0,0
127,0.0,0.7,250.94557189941406,179.93328857421875,90,200,4810,539,200,0,32,30,28,0,0
128,0.0,0.8,263.38446044921875,163.19381713867188,92,201,4898,562,201,0,47,28,17,0,0
129,0.0,0.9,256.56658935546875,180.62791442871094,81,205,4858,544,205,0,32,31,18,0,0
130,0.0,0.8,250.27650451660156,192.87136840820312,86,201,4869,573,201,0,32,31,23,0,0
131,0.0,0.9,231.3779754638672,176.34585571289062,74,202,4918,587,202,0,16,30,28,0,0
132,0.0,0.8,340.4825744628906,203.6953887939453,89,207,4901,585,207,0,32,25,32,0,0
133,0.0,0.9,246.098876953125,169.46636962890625,76,208,4973,520,208,0,16,32,28,0,0
134,0.0,0.9,250.6864776611328,180.7411346435547,82,210,4959,562,210,0,32,43,7,0,0
135,0.0,0.9,298.601806640625,182.39151000976562,72,200,4840,544,200,0,32,16,24,0,0
136,0.0,0.7,234.33230590820312,167.2537841796875,105,201,4753,533,201,0,48,41,16,0,0
137,0.0,0.7,236.454833984375,169.5445556640625,118,200,4847,534,200,0,32,75,11,0,0
138,0.0,0.8,268.05242919921875,186.04135131835938,68,203,4761,533,203,0,32,16,20,0,0
