query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
54,in_distribution,1.0,54.69717788696289,34.738792419433594,42,51,941
55,in_distribution,0.9,25.505155563354492,25.505155563354492,19,50,911
56,in_distribution,1.0,37.630401611328125,24.146808624267578,49,50,939
57,in_distribution,0.8,77.22899627685547,53.460296630859375,58,51,915
58,in_distribution,1.0,54.104034423828125,26.001022338867188,50,50,900
59,in_distribution,1.0,48.927467346191406,34.057647705078125,50,51,902
60,in_distribution,1.0,74.22662353515625,32.37729263305664,48,50,879
61,in_distribution,0.9,71.3112564086914,31.79534339904785,65,50,877
62,in_distribution,0.9,90.69459533691406,61.857276916503906,29,53,907
63,in_distribution,1.0,65.87090301513672,36.73617172241211,37,50,878
64,in_distribution,0.8,56.732933044433594,21.6566162109375,51,50,954
65,in_distribution,0.9,68.90349578857422,37.91538619995117,50,51,859
66,in_distribution,1.0,69.34121704101562,41.60160827636719,83,50,911
67,in_distribution,0.8,66.8284912109375,35.61435317993164,55,51,889
68,in_distribution,0.9,75.1563491821289,31.068429946899414,84,50,888
69,in_distribution,1.0,56.24787139892578,30.34653663635254,47,50,916
70,in_distribution,1.0,46.74224090576172,46.74224090576172,19,52,879
71,in_distribution,1.0,35.420684814453125,21.671585083007812,37,51,982
72,in_distribution,0.9,58.815513610839844,34.81460189819336,80,50,898
73,in_distribution,1.0,55.52946472167969,24.895204544067383,59,50,935
74,in_distribution,1.0,53.23408889770508,35.2412223815918,37,50,910
75,in_distribution,1.0,72.0751724243164,29.575910568237305,42,50,871
76,in_distribution,1.0,57.33521270751953,25.562206268310547,49,50,917
77,in_distribution,1.0,55.307098388671875,35.442874908447266,35,50,929
78,in_distribution,0.9,60.65284729003906,22.68453598022461,56,50,942
79,in_distribution,0.9,41.65925979614258,28.304763793945312,47,50,951
80,in_distribution,1.0,72.29568481445312,31.11056137084961,76,51,906
81,in_distribution,1.0,57.33766555786133,31.476783752441406,28,51,937
82,in_distribution,1.0,52.56806945800781,47.78133010864258,55,54,903
83,in_distribution,1.0,55.35206985473633,30.3073673248291,47,50,880
84,in_distribution,1.0,56.09727096557617,23.887897491455078,50,50,896
85,in_distribution,1.0,58.66965866088867,30.9949893951416,58,51,978
86,in_distribution,1.0,70.52307891845703,34.86974334716797,36,50,828
87,in_distribution,1.0,42.84549331665039,29.24895477294922,51,50,876
88,in_distribution,1.0,56.08932876586914,23.48182487487793,59,50,916
89,in_distribution,1.0,65.52586364746094,36.059749603271484,63,52,958
90,in_distribution,1.0,65.97161102294922,45.64932632446289,40,52,912
91,in_distribution,0.9,61.308982849121094,37.690032958984375,81,51,900
92,in_distribution,0.9,59.92942810058594,33.797706604003906,40,50,880
93,in_distribution,1.0,62.23378372192383,29.817258834838867,37,50,909
94,in_distribution,0.9,46.81904602050781,32.205013275146484,51,51,952
95,in_distribution,1.0,60.79229736328125,38.1049919128418,54,50,896
96,in_distribution,1.0,47.08374786376953,22.921207427978516,68,51,937
97,in_distribution,1.0,54.74989318847656,30.308683395385742,37,51,871
98,in_distribution,0.9,82.7104721069336,39.0099983215332,53,50,886
99,in_distribution,1.0,69.05241394042969,34.47914123535156,43,50,888
100,in_distribution,1.0,55.17905044555664,29.772113800048828,37,50,939
101,in_distribution,1.0,46.50218963623047,32.07025909423828,53,50,939
102,in_distribution,1.0,61.47004318237305,39.39139175415039,58,52,940
103,in_distribution,1.0,74.83885192871094,41.091407775878906,82,51,915
104,in_distribution,0.9,72.65538787841797,39.32790756225586,42,50,837
105,in_distribution,1.0,32.819984436035156,31.955673217773438,35,50,899
106,in_distribution,1.0,68.80553436279297,34.74835968017578,45,52,912
107,in_distribution,1.0,51.890357971191406,32.5753059387207,60,50,882
108,in_distribution,1.0,63.24265670776367,39.63776397705078,55,51,936
109,in_distribution,1.0,52.5274543762207,27.217140197753906,88,50,976
110,in_distribution,1.0,80.32230377197266,45.44863510131836,56,51,878
111,in_distribution,1.0,54.09577178955078,27.44641876220703,57,50,895
112,in_distribution,1.0,46.62053680419922,21.027212142944336,53,50,921
113,in_distribution,1.0,50.39185333251953,35.062557220458984,35,52,963
114,in_distribution,1.0,85.18293762207031,45.237545013427734,58,51,890
115,in_distribution,1.0,36.37319564819336,21.45878791809082,67,50,970
116,in_distribution,1.0,69.92504119873047,30.872634887695312,21,51,884
117,in_distribution,0.9,53.056610107421875,42.7874755859375,56,51,907
118,in_distribution,1.0,56.97978973388672,28.07562255859375,76,50,898
119,in_distribution,1.0,56.795997619628906,37.9445915222168,57,53,941
120,in_distribution,0.9,77.55709838867188,28.58625602722168,77,50,949
121,in_distribution,1.0,41.9893913269043,34.287925720214844,35,51,935
