strategy,ef,phase_idx,bin,is_plateau,n_queries,n_events,total_edges,edges_per_event,events_per_1000q,mean_dist_comps,mean_threshold,mean_t_rewire_ms
poolAndRewire,50,8,7,False,3000,60,1728,28.8,20.0,,,181.7965
poolAndRewire,50,9,8,False,3000,60,1631,27.1833,20.0,,,181.0215
poolAndRewire,50,10,9,False,3000,59,1741,29.5085,19.6667,,,179.8025
poolAndRewire,50,11,9,True,5000,100,1928,19.28,20.0,,,183.9825
poolAndRewire,100,0,1,False,3000,60,3221,53.6833,20.0,,,192.6047
poolAndRewire,100,1,2,False,3000,60,2835,47.25,20.0,,,210.3198
poolAndRewire,100,2,3,False,3000,59,2675,45.339,19.6667,,,194.4942
poolAndRewire,100,3,3,True,5000,100,3264,32.64,20.0,,,193.0023
poolAndRewire,100,4,4,False,3000,60,2230,37.1667,20.0,,,210.2472
poolAndRewire,100,5,5,False,3000,60,2285,38.0833,20.0,,,203.6587
poolAndRewire,100,6,6,False,3000,59,2292,38.8475,19.6667,,,199.1356
poolAndRewire,100,7,6,True,5000,100,2708,27.08,20.0,,,199.2808
poolAndRewire,100,8,7,False,3000,60,1728,28.8,20.0,,,214.8247
poolAndRewire,100,9,8,False,3000,60,1631,27.1833,20.0,,,215.2218
poolAndRewire,100,10,9,False,3000,59,1741,29.5085,19.6667,,,211.1717
poolAndRewire,100,11,9,True,5000,100,1928,19.28,20.0,,,212.151
poolAndRewire,200,0,1,False,3000,60,3221,53.6833,20.0,,,163.525
poolAndRewire,200,1,2,False,3000,60,2835,47.25,20.0,,,179.0905
poolAndRewire,200,2,3,False,3000,59,2675,45.339,19.6667,,,173.4105
poolAndRewire,200,3,3,True,5000,100,3264,32.64,20.0,,,174.0653
poolAndRewire,200,4,4,False,3000,60,2230,37.1667,20.0,,,186.7343
poolAndRewire,200,5,5,False,3000,60,2285,38.0833,20.0,,,181.1648
poolAndRewire,200,6,6,False,3000,59,2292,38.8475,19.6667,,,178.6236
poolAndRewire,200,7,6,True,5000,100,2708,27.08,20.0,,,178.2543
poolAndRewire,200,8,7,False,3000,60,1728,28.8,20.0,,,189.194
poolAndRewire,200,9,8,False,3000,60,1631,27.1833,20.0,,,191.1493
poolAndRewire,200,10,9,False,3000,59,1741,29.5085,19.6667,,,187.9424
poolAndRewire,200,11,9,True,5000,100,1928,19.28,20.0,,,188.5518
poolAndRewire,500,0,1,False,3000,60,3221,53.6833,20.0,,,196.141
poolAndRewire,500,1,2,False,3000,60,2835,47.25,20.0,,,206.85
poolAndRewire,500,2,3,False,3000,59,2675,45.339,19.6667,,,197.6286
poolAndRewire,500,3,3,True,5000,100,3264,32.64,20.0,,,196.2922
poolAndRewire,500,4,4,False,3000,60,2230,37.1667,20.0,,,212.041
poolAndRewire,500,5,5,False,3000,60,2285,38.0833,20.0,,,207.5458
poolAndRewire,500,6,6,False,3000,59,2292,38.8475,19.6667,,,202.7186
poolAndRewire,500,7,6,True,5000,100,2708,27.08,20.0,,,201.9417
poolAndRewire,500,8,7,False,3000,60,1728,28.8,20.0,,,218.9032
poolAndRewire,500,9,8,False,3000,60,1631,27.1833,20.0,,,218.6212
poolAndRewire,500,10,9,False,3000,59,1741,29.5085,19.6667,,,215.2378
poolAndRewire,500,11,9,True,5000,100,1928,19.28,20.0,,,214.9622
