strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,500,5,5,False,0.2,0.3,1.0,225733.6877,70671.838,130.9527,37.955,1500.1797,20512.0417,1810.6827,3000,6.8428,3.173,,0.5092,2.9875,1.7056
hardness_adaptive,500,6,6,False,0.3,0.3,0.9999,214043.6047,62913.876,131.121,39.9643,1500.153,19459.0173,1749.4423,3000,6.5866,3.064,,0.5049,2.8481,1.6608
hardness_adaptive,500,7,6,True,0.3,0.3,1.0,215626.4514,63068.936,132.299,39.935,1500.1656,19457.4928,1747.4454,5000,6.6839,3.1176,,0.5068,2.8936,1.374
hardness_adaptive,500,8,7,False,0.3,0.4,0.9996,218629.258,89614.3983,120.233,34.6197,1500.4653,24436.1507,2253.9393,3000,7.6214,3.5364,,0.5102,3.4005,1.8004
hardness_adaptive,500,9,8,False,0.4,0.6,0.9993,217328.3427,89642.3153,120.963,35.8357,1500.4707,24532.7513,2278.3467,3000,7.6217,3.5386,,0.5131,3.4065,1.8148
hardness_adaptive,500,10,9,False,0.6,1.0,0.9994,221055.9393,81888.5673,128.616,37.6363,1500.2767,23404.8897,2169.0737,3000,7.3823,3.4312,,0.5078,3.2851,1.7531
hardness_adaptive,500,11,9,True,0.6,1.0,0.9992,216756.161,81239.9428,127.7606,37.9296,1500.2732,23320.4472,2162.629,5000,7.3705,3.4226,,0.5067,3.2749,1.4393
no_adaptation,10,0,1,False,0.0,0.0,0.9041,261631.275,43496.247,142.7857,38.746,12.244,241.946,31.089,3000,0.0452,0.0452,,0.0,0.0,0.0
no_adaptation,10,1,2,False,0.0,0.1,0.7895,271577.098,76025.2483,133.8393,33.7983,15.205,343.244,40.0057,3000,0.0533,0.0533,,0.0,0.0,0.0
no_adaptation,10,2,3,False,0.1,0.1,0.7731,264705.0513,57630.8203,140.8327,37.828,12.88,275.1997,32.5473,3000,0.047,0.047,,0.0,0.0,0.0
no_adaptation,10,3,3,True,0.1,0.1,0.7736,265700.7986,57807.757,140.7046,37.9378,12.8756,275.3758,32.717,5000,0.0474,0.0474,,0.0,0.0,0.0
no_adaptation,10,4,4,False,0.1,0.2,0.5781,273500.853,88840.3753,130.7263,31.8463,17.3473,410.1553,40.975,3000,0.0599,0.0599,,0.0,0.0,0.0
no_adaptation,10,5,5,False,0.2,0.3,0.6494,271723.1733,74992.7797,136.5667,35.4187,14.1003,321.9353,35.884,3000,0.0516,0.0516,,0.0,0.0,0.0
no_adaptation,10,6,6,False,0.3,0.3,0.5852,263671.8267,65127.0377,139.873,38.5003,12.9123,283.1917,31.5147,3000,0.0481,0.0481,,0.0,0.0,0.0
no_adaptation,10,7,6,True,0.3,0.3,0.5838,267375.9454,65319.3868,140.2456,38.2454,12.8818,282.7862,31.5588,5000,0.0479,0.0479,,0.0,0.0,0.0
no_adaptation,10,8,7,False,0.3,0.4,0.313,270868.701,98359.1443,128.1687,30.453,18.2007,442.9907,40.3743,3000,0.0625,0.0625,,0.0,0.0,0.0
no_adaptation,10,9,8,False,0.4,0.6,0.3217,268633.0483,97601.2147,128.43,31.0617,17.76,431.126,39.511,3000,0.0611,0.0611,,0.0,0.0,0.0
no_adaptation,10,10,9,False,0.6,1.0,0.3236,270095.6523,85340.5097,134.5967,34.8297,13.9367,328.513,34.1007,3000,0.0513,0.0513,,0.0,0.0,0.0
no_adaptation,10,11,9,True,0.6,1.0,0.3207,269524.1102,84841.8536,134.6786,35.1806,13.8894,327.33,33.929,5000,0.0509,0.0509,,0.0,0.0,0.0
no_adaptation,50,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,50.799,851.9233,97.3353,3000,0.1231,0.1231,,0.0,0.0,0.0
no_adaptation,50,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,52.5913,1061.4987,141.0023,3000,0.1429,0.1429,,0.0,0.0,0.0
no_adaptation,50,2,3,False,0.1,0.1,0.975,264705.0513,57630.8203,140.8327,37.828,51.1383,969.1837,113.189,3000,0.1322,0.1322,,0.0,0.0,0.0
no_adaptation,50,3,3,True,0.1,0.1,0.9753,265700.7986,57807.757,140.7046,37.9378,51.1562,968.5626,113.1756,5000,0.1335,0.1335,,0.0,0.0,0.0
no_adaptation,50,4,4,False,0.1,0.2,0.953,273500.853,88840.3753,130.7263,31.8463,54.3857,1184.7123,162.7633,3000,0.1555,0.1555,,0.0,0.0,0.0
no_adaptation,50,5,5,False,0.2,0.3,0.9291,271723.1733,74992.7797,136.5667,35.4187,52.054,1084.1947,134.1647,3000,0.1447,0.1447,,0.0,0.0,0.0
no_adaptation,50,6,6,False,0.3,0.3,0.8993,263671.8267,65127.0377,139.873,38.5003,51.406,1032.8217,120.564,3000,0.1398,0.1398,,0.0,0.0,0.0
no_adaptation,50,7,6,True,0.3,0.3,0.9026,267375.9454,65319.3868,140.2456,38.2454,51.43,1034.5888,120.7206,5000,0.1398,0.1398,,0.0,0.0,0.0
no_adaptation,50,8,7,False,0.3,0.4,0.8219,270868.701,98359.1443,128.1687,30.453,57.5257,1317.2997,178.835,3000,0.1698,0.1698,,0.0,0.0,0.0
no_adaptation,50,9,8,False,0.4,0.6,0.7724,268633.0483,97601.2147,128.43,31.0617,56.6917,1296.6293,173.3203,3000,0.168,0.168,,0.0,0.0,0.0
no_adaptation,50,10,9,False,0.6,1.0,0.729,270095.6523,85340.5097,134.5967,34.8297,53.489,1188.5997,143.4533,3000,0.1554,0.1554,,0.0,0.0,0.0
no_adaptation,50,11,9,True,0.6,1.0,0.7293,269524.1102,84841.8536,134.6786,35.1806,53.3956,1185.3376,143.2358,5000,0.1549,0.1549,,0.0,0.0,0.0
no_adaptation,100,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,100.4767,1532.696,154.2263,3000,0.2258,0.2258,,0.0,0.0,0.0
no_adaptation,100,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,101.8267,1915.8037,221.3793,3000,0.2616,0.2616,,0.0,0.0,0.0
no_adaptation,100,2,3,False,0.1,0.1,0.9946,264705.0513,57630.8203,140.8327,37.828,100.7127,1767.073,183.8117,3000,0.2452,0.2452,,0.0,0.0,0.0
no_adaptation,100,3,3,True,0.1,0.1,0.9947,265700.7986,57807.757,140.7046,37.9378,100.7236,1765.7492,183.9402,5000,0.2426,0.2426,,0.0,0.0,0.0
no_adaptation,100,4,4,False,0.1,0.2,0.9832,273500.853,88840.3753,130.7263,31.8463,103.0207,2120.316,265.6147,3000,0.2781,0.2781,,0.0,0.0,0.0
no_adaptation,100,5,5,False,0.2,0.3,0.9778,271723.1733,74992.7797,136.5667,35.4187,101.371,1985.125,220.261,3000,0.2624,0.2624,,0.0,0.0,0.0
no_adaptation,100,6,6,False,0.3,0.3,0.9681,263671.8267,65127.0377,139.873,38.5003,100.8417,1902.8323,204.4533,3000,0.2538,0.2538,,0.0,0.0,0.0
no_adaptation,100,7,6,True,0.3,0.3,0.9695,267375.9454,65319.3868,140.2456,38.2454,100.848,1904.9042,204.3134,5000,0.2561,0.2561,,0.0,0.0,0.0
no_adaptation,100,8,7,False,0.3,0.4,0.9172,270868.701,98359.1443,128.1687,30.453,104.8623,2294.4727,302.7957,3000,0.2967,0.2967,,0.0,0.0,0.0
no_adaptation,100,9,8,False,0.4,0.6,0.8928,268633.0483,97601.2147,128.43,31.0617,104.375,2286.7863,295.542,3000,0.2953,0.2953,,0.0,0.0,0.0
