strategy,ef_search,hardness_bin,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
poolAndRewire,200,1,0.0,0.0,1.0,197973.014,41481.1662,127.669,39.2824,200.215,2754.8342,252.747,5000
poolAndRewire,200,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,200.714,3484.576,337.8208,5000
poolAndRewire,200,3,0.1,0.1,0.9987,219084.3878,55105.7486,132.9896,38.8516,200.3362,3209.434,305.0022,5000
poolAndRewire,200,4,0.1,0.2,0.9952,217211.1348,79472.288,125.5614,36.3026,201.1726,3861.6182,404.127,5000
poolAndRewire,200,5,0.2,0.3,0.9941,211235.5336,70536.9218,129.293,37.844,200.6414,3643.6202,362.079,5000
poolAndRewire,200,6,0.3,0.3,0.9921,218316.4176,63474.4738,133.3072,38.8892,200.4748,3493.8038,348.391,5000
poolAndRewire,200,7,0.3,0.4,0.9706,210795.5722,88621.8894,123.5526,35.0818,201.8524,4147.8534,462.6802,5000
poolAndRewire,200,8,0.4,0.6,0.9619,220508.2292,88406.2306,127.1152,35.1668,201.795,4166.0716,464.7262,5000
poolAndRewire,200,9,0.6,1.0,0.9577,223522.8332,81578.6098,130.3102,36.63,201.1012,4015.2416,433.3444,5000
poolAndRewire,500,1,0.0,0.0,1.0,197973.014,41481.1662,127.669,39.2824,500.1132,5928.1812,523.1866,5000
poolAndRewire,500,2,0.0,0.1,1.0,216845.8382,67915.0118,126.2678,37.3254,500.3536,7697.6962,682.763,5000
poolAndRewire,500,3,0.1,0.1,0.9997,219084.3878,55105.7486,132.9896,38.8516,500.165,6999.3114,627.7568,5000
poolAndRewire,500,4,0.1,0.2,0.9994,217211.1348,79472.288,125.5614,36.3026,500.5702,8633.7764,805.2998,5000
poolAndRewire,500,5,0.2,0.3,0.9993,211235.5336,70536.9218,129.293,37.844,500.3378,8083.7764,740.92,5000
poolAndRewire,500,6,0.3,0.3,0.9989,218316.4176,63474.4738,133.3072,38.8892,500.2322,7705.4878,718.3822,5000
poolAndRewire,500,7,0.3,0.4,0.9947,210795.5722,88621.8894,123.5526,35.0818,500.9298,9369.1526,928.8416,5000
poolAndRewire,500,8,0.4,0.6,0.9924,220508.2292,88406.2306,127.1152,35.1668,500.8932,9415.6674,938.8638,5000
poolAndRewire,500,9,0.6,1.0,0.9926,223522.8332,81578.6098,130.3102,36.63,500.5464,9044.799,896.1984,5000
