condition,epoch,ef,recall,edge_count,lN_attempts,l0_edge_count,lN_edge_count
adaptive_layerN_eh,10,128,0.9816000000000001,123,274.0,,
adaptive_layerN_eh,11,32,0.879,148,344.0,,
adaptive_layerN_eh,11,64,0.9496000000000001,148,344.0,,
adaptive_layerN_eh,11,128,0.9838,148,344.0,,
adaptive_layerN_eh,12,32,0.8667999999999999,158,396.0,,
adaptive_layerN_eh,12,64,0.9442,158,396.0,,
adaptive_layerN_eh,12,128,0.9848000000000001,158,396.0,,
adaptive_layerN_eh,13,32,0.8732000000000001,177,456.0,,
adaptive_layerN_eh,13,64,0.949,177,456.0,,
adaptive_layerN_eh,13,128,0.9824,177,456.0,,
adaptive_layerN_eh,14,32,0.8656,187,522.0,,
adaptive_layerN_eh,14,64,0.9472,187,522.0,,
adaptive_layerN_eh,14,128,0.9834,187,522.0,,
adaptive_layerN_eh,15,32,0.8746,198,572.0,,
adaptive_layerN_eh,15,64,0.9438000000000001,198,572.0,,
adaptive_layerN_eh,15,128,0.9828000000000001,198,572.0,,
adaptive_layerN_eh,16,32,0.782,225,650.0,,
adaptive_layerN_eh,16,64,0.8884000000000001,225,650.0,,
adaptive_layerN_eh,16,128,0.956,225,650.0,,
adaptive_layerN_eh,17,32,0.6832,251,724.0,,
adaptive_layerN_eh,17,64,0.8152,251,724.0,,
adaptive_layerN_eh,17,128,0.9108,251,724.0,,
adaptive_layerN_eh,18,32,0.5908,260,783.0,,
adaptive_layerN_eh,18,64,0.73,260,783.0,,
adaptive_layerN_eh,18,128,0.8396,260,783.0,,
adaptive_layerN_eh,19,32,0.504,296,862.0,,
adaptive_layerN_eh,19,64,0.6422,296,862.0,,
adaptive_layerN_eh,19,128,0.7557999999999999,296,862.0,,
adaptive_layerN_eh,20,32,0.4778,324,949.0,,
adaptive_layerN_eh,20,64,0.6137999999999999,324,949.0,,
adaptive_layerN_eh,20,128,0.73,324,949.0,,
adaptive_layerN_eh,21,32,0.5166,346,1023.0,,
adaptive_layerN_eh,21,64,0.6472,346,1023.0,,
adaptive_layerN_eh,21,128,0.7552000000000001,346,1023.0,,
adaptive_layerN_eh,22,32,0.5118,362,1114.0,,
adaptive_layerN_eh,22,64,0.6407999999999999,362,1114.0,,
adaptive_layerN_eh,22,128,0.7598,362,1114.0,,
adaptive_layerN_eh,23,32,0.4854,390,1218.0,,
adaptive_layerN_eh,23,64,0.6154,390,1218.0,,
adaptive_layerN_eh,23,128,0.7448,390,1218.0,,
adaptive_layerN_eh,24,32,0.5112,397,1309.0,,
adaptive_layerN_eh,24,64,0.6374,397,1309.0,,
adaptive_layerN_eh,24,128,0.7570000000000001,397,1309.0,,
hybrid_l0_lN,0,32,0.9822000000000001,0,,0.0,0.0
hybrid_l0_lN,0,64,0.9944,0,,0.0,0.0
hybrid_l0_lN,0,128,0.9992000000000001,0,,0.0,0.0
hybrid_l0_lN,1,32,0.984,0,,0.0,0.0
hybrid_l0_lN,1,64,0.9972000000000001,0,,0.0,0.0
hybrid_l0_lN,1,128,0.999,0,,0.0,0.0
hybrid_l0_lN,2,32,0.983,0,,0.0,0.0
hybrid_l0_lN,2,64,0.9967999999999999,0,,0.0,0.0
hybrid_l0_lN,2,128,0.9994,0,,0.0,0.0
hybrid_l0_lN,3,32,0.9832000000000001,0,,0.0,0.0
hybrid_l0_lN,3,64,0.9946,0,,0.0,0.0
hybrid_l0_lN,3,128,0.9985999999999999,0,,0.0,0.0
hybrid_l0_lN,4,32,0.988,0,,0.0,0.0
hybrid_l0_lN,4,64,0.9966000000000002,0,,0.0,0.0
hybrid_l0_lN,4,128,0.9992000000000001,0,,0.0,0.0
hybrid_l0_lN,5,32,0.9866000000000001,0,,0.0,0.0
hybrid_l0_lN,5,64,0.9962000000000001,0,,0.0,0.0
hybrid_l0_lN,5,128,0.999,0,,0.0,0.0
hybrid_l0_lN,6,32,0.9816000000000001,0,,0.0,0.0
hybrid_l0_lN,6,64,0.9962000000000001,0,,0.0,0.0
hybrid_l0_lN,6,128,0.9987999999999999,0,,0.0,0.0
hybrid_l0_lN,7,32,0.9624000000000001,37,,9746.0,37.0
hybrid_l0_lN,7,64,0.9888000000000001,37,,9746.0,37.0
hybrid_l0_lN,7,128,0.998,37,,9746.0,37.0
hybrid_l0_lN,8,32,0.9268000000000002,68,,16890.0,68.0
hybrid_l0_lN,8,64,0.9726,68,,16890.0,68.0
hybrid_l0_lN,8,128,0.992,68,,16890.0,68.0
hybrid_l0_lN,9,32,0.866,108,,22606.0,108.0
hybrid_l0_lN,9,64,0.9396000000000001,108,,22606.0,108.0
hybrid_l0_lN,9,128,0.9822000000000001,108,,22606.0,108.0
hybrid_l0_lN,10,32,0.8697999999999999,126,,27178.0,126.0
hybrid_l0_lN,10,64,0.948,126,,27178.0,126.0
hybrid_l0_lN,10,128,0.9832000000000001,126,,27178.0,126.0
hybrid_l0_lN,11,32,0.8844000000000001,149,,30941.0,149.0
hybrid_l0_lN,11,64,0.9532,149,,30941.0,149.0
hybrid_l0_lN,11,128,0.9846,149,,30941.0,149.0
hybrid_l0_lN,12,32,0.8728000000000001,157,,34545.0,157.0
hybrid_l0_lN,12,64,0.948,157,,34545.0,157.0
hybrid_l0_lN,12,128,0.9856,157,,34545.0,157.0
hybrid_l0_lN,13,32,0.8798,176,,37789.0,176.0
hybrid_l0_lN,13,64,0.9506000000000001,176,,37789.0,176.0
hybrid_l0_lN,13,128,0.9834,176,,37789.0,176.0
hybrid_l0_lN,14,32,0.8708,186,,40337.0,186.0
hybrid_l0_lN,14,64,0.9508,186,,40337.0,186.0
hybrid_l0_lN,14,128,0.9842000000000001,186,,40337.0,186.0
hybrid_l0_lN,15,32,0.8828,196,,42536.0,196.0
hybrid_l0_lN,15,64,0.9476,196,,42536.0,196.0
hybrid_l0_lN,15,128,0.9842000000000001,196,,42536.0,196.0
hybrid_l0_lN,16,32,0.7952,226,,44237.0,226.0
hybrid_l0_lN,16,64,0.8982,226,,44237.0,226.0
hybrid_l0_lN,16,128,0.9606000000000001,226,,44237.0,226.0
