shift_sigma,shift_absolute,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
12,600.0,1000,0.153,881353.3479,725839.0589,114.207,25.352,1007.381,25760.751,2952.64,1000
12,600.0,2000,0.2231,881353.3479,725839.0589,114.207,25.352,2004.774,47902.482,5584.992,1000
12,600.0,5000,0.3443,881353.3479,725839.0589,114.207,25.352,5003.44,106177.428,12860.123,1000
16,800.0,10,0.0036,1151219.628,976408.878,110.41,23.485,14.957,428.289,32.329,1000
16,800.0,20,0.0059,1151219.628,976408.878,110.41,23.485,27.468,783.019,67.143,1000
16,800.0,50,0.013,1151219.628,976408.878,110.41,23.485,63.207,1786.645,169.441,1000
16,800.0,100,0.021,1151219.628,976408.878,110.41,23.485,117.388,3278.865,333.891,1000
16,800.0,200,0.0362,1151219.628,976408.878,110.41,23.485,218.737,5994.555,651.324,1000
16,800.0,500,0.0661,1151219.628,976408.878,110.41,23.485,513.939,13510.586,1556.668,1000
16,800.0,1000,0.1041,1151219.628,976408.878,110.41,23.485,1009.088,25235.789,2975.467,1000
16,800.0,2000,0.157,1151219.628,976408.878,110.41,23.485,2006.771,46869.658,5651.464,1000
16,800.0,5000,0.2451,1151219.628,976408.878,110.41,23.485,5003.954,103769.577,13072.701,1000
20,1000.0,10,0.0028,1501616.003,1300244.6169,109.143,23.118,15.151,426.661,31.835,1000
20,1000.0,20,0.0041,1501616.003,1300244.6169,109.143,23.118,27.891,780.055,67.258,1000
20,1000.0,50,0.0085,1501616.003,1300244.6169,109.143,23.118,63.731,1761.015,170.032,1000
20,1000.0,100,0.0134,1501616.003,1300244.6169,109.143,23.118,117.331,3204.845,333.463,1000
20,1000.0,200,0.0218,1501616.003,1300244.6169,109.143,23.118,221.113,5921.401,649.767,1000
20,1000.0,500,0.0435,1501616.003,1300244.6169,109.143,23.118,516.029,13258.816,1554.463,1000
20,1000.0,1000,0.0713,1501616.003,1300244.6169,109.143,23.118,1012.244,24765.313,2983.76,1000
20,1000.0,2000,0.1133,1501616.003,1300244.6169,109.143,23.118,2007.575,45913.358,5692.233,1000
20,1000.0,5000,0.1885,1501616.003,1300244.6169,109.143,23.118,5005.15,101669.938,13221.232,1000
