strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_base_dist_comps,mean_t_query_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms,n_queries
ha_multi_ep,200,11,9,True,0.6,1.0,0.9733,6601.5942,3.4725,0.8021,1.7535,0.7203,5000
ha_multi_ep,500,0,1,False,0.0,0.0,1.0,9898.7383,6.3339,0.839,3.7675,0.7511,3000
ha_multi_ep,500,1,2,False,0.0,0.1,1.0,12337.805,7.2825,0.8728,4.4977,0.8007,3000
ha_multi_ep,500,2,3,False,0.1,0.1,0.9999,11049.8287,7.761,1.9813,4.0108,0.7687,3000
ha_multi_ep,500,3,3,True,0.1,0.1,0.9998,11266.7688,6.8146,0.8667,4.1395,0.7318,5000
ha_multi_ep,500,4,4,False,0.1,0.2,0.9995,13317.0117,7.5773,0.8918,4.7218,0.7859,3000
ha_multi_ep,500,5,5,False,0.2,0.3,0.9997,13115.143,7.6825,0.8883,4.799,0.8218,3000
ha_multi_ep,500,6,6,False,0.3,0.3,0.9993,12599.0103,7.4656,0.878,4.6377,0.808,3000
ha_multi_ep,500,7,6,True,0.3,0.3,0.9993,12569.4968,7.4421,0.8783,4.6191,0.7489,5000
ha_multi_ep,500,8,7,False,0.3,0.4,0.9969,15420.2933,8.7027,0.8972,5.5905,0.8406,3000
ha_multi_ep,500,9,8,False,0.4,0.6,0.9947,14961.3727,8.3886,0.9007,5.3498,0.8068,3000
ha_multi_ep,500,10,9,False,0.6,1.0,0.9948,13964.3807,7.8592,0.8857,4.9532,0.7682,3000
ha_multi_ep,500,11,9,True,0.6,1.0,0.9946,14215.6256,8.0322,0.889,5.0832,0.7622,5000
ha_original,10,0,1,False,0.0,0.0,0.9518,374.4397,0.7847,0.6498,0.0427,0.6218,3000
ha_original,10,1,2,False,0.0,0.1,0.9097,495.3163,0.8767,0.7169,0.0532,0.6764,3000
ha_original,10,2,3,False,0.1,0.1,0.8567,414.8377,0.8631,0.7182,0.0484,0.6559,3000
ha_original,10,3,3,True,0.1,0.1,0.8565,411.7586,0.8647,0.7206,0.0483,0.6151,5000
ha_original,10,4,4,False,0.1,0.2,0.7936,550.464,0.891,0.7196,0.0587,0.6816,3000
ha_original,10,5,5,False,0.2,0.3,0.7553,454.3187,0.871,0.719,0.0526,0.6205,3000
ha_original,10,6,6,False,0.3,0.3,0.706,442.17,0.8712,0.722,0.0514,0.6217,3000
ha_original,10,7,6,True,0.3,0.3,0.7028,437.7442,0.8698,0.7213,0.0514,0.6208,5000
ha_original,10,8,7,False,0.3,0.4,0.5764,551.6943,0.8931,0.7178,0.062,0.6203,3000
ha_original,10,9,8,False,0.4,0.6,0.5705,619.7643,0.9041,0.7191,0.0655,0.6995,3000
ha_original,10,10,9,False,0.6,1.0,0.4827,505.3417,0.8814,0.719,0.0594,0.6461,3000
ha_original,10,11,9,True,0.6,1.0,0.4813,496.5362,0.8821,0.72,0.0596,0.5928,5000
ha_original,50,0,1,False,0.0,0.0,1.0,1410.3363,1.2653,0.9217,0.1072,0.669,3000
ha_original,50,1,2,False,0.0,0.1,0.9999,1782.3053,1.1127,0.7117,0.1279,0.6889,3000
ha_original,50,2,3,False,0.1,0.1,0.9858,1612.103,1.0805,0.7098,0.1183,0.6511,3000
ha_original,50,3,3,True,0.1,0.1,0.9855,1628.341,1.0833,0.7096,0.1191,0.6251,5000
ha_original,50,4,4,False,0.1,0.2,0.9679,1796.249,1.1144,0.7161,0.1289,0.6586,3000
ha_original,50,5,5,False,0.2,0.3,0.9557,1793.8443,1.1137,0.7154,0.1287,0.6821,3000
ha_original,50,6,6,False,0.3,0.3,0.9369,1725.373,1.0962,0.7104,0.1244,0.6446,3000
ha_original,50,7,6,True,0.3,0.3,0.9394,1725.108,1.0941,0.7082,0.125,0.6314,5000
ha_original,50,8,7,False,0.3,0.4,0.8767,1976.718,1.1415,0.7116,0.1403,0.6899,3000
ha_original,50,9,8,False,0.4,0.6,0.8435,1983.6587,1.1466,0.7178,0.1415,0.6961,3000
ha_original,50,10,9,False,0.6,1.0,0.819,1936.047,1.1255,0.7081,0.1392,0.6419,3000
ha_original,50,11,9,True,0.6,1.0,0.8205,1941.0342,1.1266,0.708,0.1399,0.6386,5000
ha_original,100,0,1,False,0.0,0.0,1.0,2603.371,1.3053,0.6976,0.196,0.6712,3000
ha_original,100,1,2,False,0.0,0.1,1.0,3138.2247,1.3978,0.7132,0.2291,0.6871,3000
ha_original,100,2,3,False,0.1,0.1,0.9967,2962.3527,1.37,0.7105,0.2185,0.7059,3000
ha_original,100,3,3,True,0.1,0.1,0.9967,2842.0242,1.3424,0.7101,0.2096,0.6162,5000
ha_original,100,4,4,False,0.1,0.2,0.9889,3419.9127,1.4422,0.716,0.2477,0.6774,3000
ha_original,100,5,5,False,0.2,0.3,0.9854,3198.068,1.3992,0.7129,0.232,0.6705,3000
ha_original,100,6,6,False,0.3,0.3,0.9799,3147.197,1.3948,0.7113,0.231,0.6643,3000
ha_original,100,7,6,True,0.3,0.3,0.9811,3203.3356,1.5792,0.8855,0.2359,0.6532,5000
ha_original,100,8,7,False,0.3,0.4,0.9477,3856.0273,1.5276,0.719,0.282,0.738,3000
ha_original,100,9,8,False,0.4,0.6,0.9306,3842.3893,1.5282,0.7218,0.2839,0.7062,3000
ha_original,100,10,9,False,0.6,1.0,0.9184,3476.1757,1.4484,0.7202,0.2547,0.6707,3000
ha_original,100,11,9,True,0.6,1.0,0.9252,3663.9698,1.4888,0.7191,0.2718,0.6606,5000
ha_original,200,0,1,False,0.0,0.0,1.0,4568.177,1.8724,0.7247,0.4155,0.6866,3000
ha_original,200,1,2,False,0.0,0.1,1.0,5550.207,2.0781,0.7512,0.5134,0.6923,3000
ha_original,200,2,3,False,0.1,0.1,0.9993,5111.1583,1.9841,0.7394,0.4683,0.7221,3000
ha_original,200,3,3,True,0.1,0.1,0.9992,5332.5374,2.034,0.744,0.4902,0.6722,5000
ha_original,200,4,4,False,0.1,0.2,0.9972,6476.9043,2.2866,0.7582,0.6176,0.7537,3000
ha_original,200,5,5,False,0.2,0.3,0.9972,5923.771,2.1559,0.7505,0.555,0.729,3000
ha_original,200,6,6,False,0.3,0.3,0.9944,5615.7863,2.0859,0.7479,0.5214,0.6912,3000
ha_original,200,7,6,True,0.3,0.3,0.9955,5895.2636,2.1599,0.7541,0.5531,0.6992,5000
ha_original,200,8,7,False,0.3,0.4,0.981,6802.3437,2.3482,0.764,0.6518,0.7467,3000
ha_original,200,9,8,False,0.4,0.6,0.9744,6871.09,2.3694,0.768,0.6624,0.7358,3000
ha_original,200,10,9,False,0.6,1.0,0.974,6553.6153,2.2888,0.763,0.6263,0.7419,3000
ha_original,200,11,9,True,0.6,1.0,0.9736,6747.1532,2.3371,0.7693,0.6478,0.6989,5000
ha_original,500,0,1,False,0.0,0.0,1.0,9898.9193,3.8122,0.8124,1.3131,0.7601,3000
ha_original,500,1,2,False,0.0,0.1,1.0,12358.4273,4.3077,0.8539,1.5636,0.7964,3000
ha_original,500,2,3,False,0.1,0.1,0.9999,11050.1017,3.9954,0.8419,1.4042,0.7563,3000
ha_original,500,3,3,True,0.1,0.1,0.9998,11267.0968,4.0484,0.8487,1.4311,0.7315,5000
ha_original,500,4,4,False,0.1,0.2,0.9995,13831.6067,4.6177,0.8708,1.7237,0.8035,3000
ha_original,500,5,5,False,0.2,0.3,0.9997,13336.801,4.5912,0.873,1.7043,0.8109,3000
ha_original,500,6,6,False,0.3,0.3,0.9993,11870.3273,4.147,0.8581,1.4812,0.7566,3000
ha_original,500,7,6,True,0.3,0.3,0.9993,12385.6274,4.5791,1.1506,1.5554,0.7537,5000
ha_original,500,8,7,False,0.3,0.4,0.9969,15861.4293,5.1337,0.8861,1.9897,0.8469,3000
ha_original,500,9,8,False,0.4,0.6,0.9941,14285.302,4.6126,0.8764,1.7285,0.7426,3000
ha_original,500,10,9,False,0.6,1.0,0.9949,14003.43,4.6001,0.8822,1.7177,0.7765,3000
ha_original,500,11,9,True,0.6,1.0,0.995,14525.4326,4.7326,0.8804,1.788,0.7626,5000
ha_redundancy,10,0,1,False,0.0,0.0,0.9509,373.728,0.8378,0.6916,0.0452,1.086,3000
ha_redundancy,10,1,2,False,0.0,0.1,0.901,475.2827,0.9352,0.7634,0.0562,1.1914,3000
ha_redundancy,10,2,3,False,0.1,0.1,0.8553,417.0743,0.9218,0.7628,0.0518,1.1551,3000
ha_redundancy,10,3,3,True,0.1,0.1,0.8609,424.7246,0.9275,0.7661,0.0525,1.1505,5000
ha_redundancy,10,4,4,False,0.1,0.2,0.7801,532.588,0.9476,0.7637,0.0615,1.1735,3000
