strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,n_queries,mean_t_query_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_orig_knn_ms,mean_t_adapt_ms
full,10,0.0,0.8432,16227.2755,6335.6364,132.216,35.572,13.481,272.49,1000,0.0724,0.0,0.0,0.0724,0.0
full,10,1.0,0.8288,16098.2198,6385.5811,131.743,35.617,13.414,272.078,1000,0.0725,0.0,0.0,0.0725,0.0
full,10,2.0,0.8139,16048.6637,6484.4249,131.417,35.338,13.536,273.633,1000,0.0715,0.0,0.0,0.0715,0.0
full,10,3.0,0.8038,16078.6074,6715.9762,131.457,35.263,13.688,278.687,1000,0.074,0.0,0.0,0.074,0.0
full,10,4.0,0.7837,16188.0505,7011.7649,131.813,35.337,13.742,279.132,1000,0.0723,0.0,0.0,0.0723,0.0
full,10,6.0,0.754,14851.1159,7473.3631,121.3,36.791,13.505,276.342,1000,0.8124,0.6595,0.0796,0.0569,0.2017
full,10,8.0,0.6931,16370.8654,8233.5334,124.21,34.609,13.667,281.953,1000,0.9422,0.781,0.0861,0.0572,0.6391
full,10,10.0,0.6225,17076.0776,9300.101,123.238,33.396,13.784,285.965,1000,0.9667,0.7997,0.0881,0.0607,1.2495
full,10,12.0,0.5146,17820.6317,10912.502,119.527,32.353,14.17,302.746,1000,0.9723,0.8021,0.089,0.0632,1.6835
full,10,16.0,0.3711,20606.2435,14513.9298,114.788,30.521,14.889,328.418,1000,0.9685,0.7996,0.0863,0.0643,2.018
full,20,0.0,0.9057,16227.2755,6335.6364,132.216,35.572,23.246,444.946,1000,0.1083,0.0,0.0,0.1083,0.0
full,20,1.0,0.9014,16098.2198,6385.5811,131.743,35.617,23.352,448.076,1000,0.1057,0.0,0.0,0.1057,0.0
full,20,2.0,0.8906,16048.6637,6484.4249,131.417,35.338,23.555,452.216,1000,0.1059,0.0,0.0,0.1059,0.0
full,20,3.0,0.8799,16078.6074,6715.9762,131.457,35.263,23.757,458.205,1000,0.1068,0.0,0.0,0.1068,0.0
full,20,4.0,0.8661,16188.0505,7011.7649,131.813,35.337,23.832,460.145,1000,0.1055,0.0,0.0,0.1055,0.0
full,20,6.0,0.837,14851.1159,7473.3631,121.3,36.791,23.743,462.481,1000,0.875,0.6649,0.1181,0.0755,0.203
full,20,8.0,0.7892,16370.8654,8233.5334,124.21,34.609,23.866,470.886,1000,1.0038,0.7826,0.1262,0.0771,0.6268
full,20,10.0,0.7219,17076.0776,9300.101,123.238,33.396,24.206,482.009,1000,1.0289,0.796,0.1309,0.0839,1.23
full,20,12.0,0.6181,17820.6317,10912.502,119.527,32.353,24.841,510.844,1000,1.0312,0.7964,0.1306,0.0859,1.6622
full,20,16.0,0.4748,20606.2435,14513.9298,114.788,30.521,26.268,562.798,1000,1.0418,0.7984,0.1342,0.091,2.0017
full,50,0.0,0.9581,16227.2755,6335.6364,132.216,35.572,52.609,913.172,1000,0.1962,0.0,0.0,0.1962,0.0
full,50,1.0,0.955,16098.2198,6385.5811,131.743,35.617,52.616,915.752,1000,0.1944,0.0,0.0,0.1944,0.0
full,50,2.0,0.9492,16048.6637,6484.4249,131.417,35.338,52.937,920.709,1000,0.1925,0.0,0.0,0.1925,0.0
full,50,3.0,0.9454,16078.6074,6715.9762,131.457,35.263,53.174,928.789,1000,0.196,0.0,0.0,0.196,0.0
full,50,4.0,0.935,16188.0505,7011.7649,131.813,35.337,53.272,934.048,1000,0.1951,0.0,0.0,0.1951,0.0
full,50,6.0,0.9164,14851.1159,7473.3631,121.3,36.791,53.388,948.454,1000,1.0165,0.6593,0.2137,0.1263,0.2028
full,50,8.0,0.8771,16370.8654,8233.5334,124.21,34.609,53.581,969.244,1000,1.1589,0.7885,0.2264,0.1257,0.6348
full,50,10.0,0.8261,17076.0776,9300.101,123.238,33.396,54.225,996.608,1000,1.1982,0.8082,0.2342,0.1372,1.2474
full,50,12.0,0.7428,17820.6317,10912.502,119.527,32.353,55.464,1057.994,1000,1.2107,0.8114,0.2377,0.1429,1.6912
full,50,16.0,0.6055,20606.2435,14513.9298,114.788,30.521,57.313,1159.418,1000,1.2276,0.8135,0.2444,0.1511,2.0385
full,100,0.0,0.9788,16227.2755,6335.6364,132.216,35.572,102.201,1612.854,1000,0.3355,0.0,0.0,0.3355,0.0
full,100,1.0,0.9747,16098.2198,6385.5811,131.743,35.617,102.208,1617.16,1000,0.3292,0.0,0.0,0.3292,0.0
full,100,2.0,0.9703,16048.6637,6484.4249,131.417,35.338,102.484,1624.203,1000,0.3257,0.0,0.0,0.3257,0.0
full,100,3.0,0.9685,16078.6074,6715.9762,131.457,35.263,102.799,1635.748,1000,0.3318,0.0,0.0,0.3318,0.0
full,100,4.0,0.9655,16188.0505,7011.7649,131.813,35.337,103.046,1646.874,1000,0.3344,0.0,0.0,0.3344,0.0
full,100,6.0,0.9501,14851.1159,7473.3631,121.3,36.791,103.007,1674.942,1000,1.2187,0.6486,0.3493,0.2031,0.2022
full,100,8.0,0.9191,16370.8654,8233.5334,124.21,34.609,103.196,1717.298,1000,1.3138,0.7235,0.3701,0.2017,0.6324
full,100,10.0,0.8804,17076.0776,9300.101,123.238,33.396,103.664,1763.548,1000,1.3411,0.7218,0.3829,0.2179,1.2329
full,100,12.0,0.8072,17820.6317,10912.502,119.527,32.353,105.073,1866.764,1000,1.3414,0.7205,0.3779,0.2246,1.6588
full,100,16.0,0.7018,20606.2435,14513.9298,114.788,30.521,106.296,2028.701,1000,1.3702,0.7222,0.3927,0.2368,1.9866
full,200,0.0,0.9891,16227.2755,6335.6364,132.216,35.572,201.816,2859.18,1000,0.581,0.0,0.0,0.581,0.0
full,200,1.0,0.9874,16098.2198,6385.5811,131.743,35.617,202.054,2868.327,1000,0.578,0.0,0.0,0.578,0.0
full,200,2.0,0.9843,16048.6637,6484.4249,131.417,35.338,202.161,2882.981,1000,0.574,0.0,0.0,0.574,0.0
full,200,3.0,0.9851,16078.6074,6715.9762,131.457,35.263,202.51,2898.845,1000,0.5839,0.0,0.0,0.5839,0.0
full,200,4.0,0.9835,16188.0505,7011.7649,131.813,35.337,202.951,2924.343,1000,0.5843,0.0,0.0,0.5843,0.0
full,200,6.0,0.971,14851.1159,7473.3631,121.3,36.791,203.211,2985.978,1000,1.6049,0.6269,0.5913,0.369,0.208
full,200,8.0,0.9442,16370.8654,8233.5334,124.21,34.609,202.832,3073.633,1000,1.7049,0.6972,0.6264,0.3625,0.6419
full,200,10.0,0.9206,17076.0776,9300.101,123.238,33.396,203.577,3168.574,1000,1.7633,0.6984,0.6529,0.3932,1.2531
full,200,12.0,0.864,17820.6317,10912.502,119.527,32.353,205.703,3365.152,1000,1.7889,0.6997,0.6655,0.4048,1.691
full,200,16.0,0.7779,20606.2435,14513.9298,114.788,30.521,205.913,3668.167,1000,1.8375,0.6998,0.6879,0.4307,2.0276
full,500,0.0,0.9967,16227.2755,6335.6364,132.216,35.572,501.361,6075.089,1000,1.243,0.0,0.0,1.243,0.0
full,500,1.0,0.996,16098.2198,6385.5811,131.743,35.617,501.843,6099.247,1000,1.2457,0.0,0.0,1.2457,0.0
full,500,2.0,0.996,16048.6637,6484.4249,131.417,35.338,502.914,6139.511,1000,1.2433,0.0,0.0,1.2433,0.0
full,500,3.0,0.9944,16078.6074,6715.9762,131.457,35.263,502.423,6177.205,1000,1.2616,0.0,0.0,1.2616,0.0
full,500,4.0,0.9926,16188.0505,7011.7649,131.813,35.337,502.76,6227.682,1000,2.5167,0.0,0.0,2.5167,0.0
full,500,6.0,0.9868,14851.1159,7473.3631,121.3,36.791,503.743,6391.573,1000,2.8636,0.6401,1.2544,0.9501,0.2081
full,500,8.0,0.9687,16370.8654,8233.5334,124.21,34.609,503.869,6639.515,1000,3.02,0.6981,1.3506,0.9506,0.6357
full,500,10.0,0.9492,17076.0776,9300.101,123.238,33.396,503.964,6894.742,1000,3.145,0.6977,1.4059,1.0207,1.2446
full,500,12.0,0.9102,17820.6317,10912.502,119.527,32.353,506.845,7326.272,1000,3.2406,0.7039,1.454,1.0618,1.6853
full,500,16.0,0.8483,20606.2435,14513.9298,114.788,30.521,506.859,8106.218,1000,3.3423,0.6979,1.5182,1.1056,2.0312
highway_only,10,0.0,0.8432,16227.2755,6335.6364,132.216,35.572,13.481,272.49,1000,0.0732,0.0,0.0,0.0732,0.0
highway_only,10,1.0,0.8288,16098.2198,6385.5811,131.743,35.617,13.414,272.078,1000,0.0725,0.0,0.0,0.0725,0.0
highway_only,10,2.0,0.8139,16048.6637,6484.4249,131.417,35.338,13.536,273.633,1000,0.0716,0.0,0.0,0.0716,0.0
highway_only,10,3.0,0.8038,16078.6074,6715.9762,131.457,35.263,13.688,278.687,1000,0.0729,0.0,0.0,0.0729,0.0
highway_only,10,4.0,0.7837,16188.0505,7011.7649,131.813,35.337,13.742,279.132,1000,0.0718,0.0,0.0,0.0718,0.0
highway_only,10,6.0,0.7034,16645.436,7954.4467,129.168,34.128,14.285,294.96,1000,0.0767,0.0,0.0,0.0767,0.0588
highway_only,10,8.0,0.6231,17420.8201,9018.1464,129.141,33.732,14.801,307.656,1000,0.0797,0.0,0.0,0.0797,0.1849
highway_only,10,10.0,0.5161,18514.2029,10331.6891,128.059,32.371,15.182,321.041,1000,0.0799,0.0,0.0,0.0799,0.2128
highway_only,10,12.0,0.421,19925.5841,11790.1056,128.416,31.649,15.617,337.871,1000,0.0798,0.0,0.0,0.0798,0.2345
highway_only,10,16.0,0.2919,23702.3425,15260.1397,127.827,30.457,16.236,362.966,1000,0.0798,0.0,0.0,0.0798,0.2516
highway_only,20,0.0,0.9057,16227.2755,6335.6364,132.216,35.572,23.246,444.946,1000,0.1084,0.0,0.0,0.1084,0.0
highway_only,20,1.0,0.9014,16098.2198,6385.5811,131.743,35.617,23.352,448.076,1000,0.1057,0.0,0.0,0.1057,0.0
highway_only,20,2.0,0.8906,16048.6637,6484.4249,131.417,35.338,23.555,452.216,1000,0.1045,0.0,0.0,0.1045,0.0
highway_only,20,3.0,0.8799,16078.6074,6715.9762,131.457,35.263,23.757,458.205,1000,0.1068,0.0,0.0,0.1068,0.0
highway_only,20,4.0,0.8661,16188.0505,7011.7649,131.813,35.337,23.832,460.145,1000,0.1053,0.0,0.0,0.1053,0.0
highway_only,20,6.0,0.8043,16645.436,7954.4467,129.168,34.128,24.675,484.388,1000,0.1134,0.0,0.0,0.1134,0.0354
highway_only,20,8.0,0.731,17420.8201,9018.1464,129.141,33.732,25.329,504.188,1000,0.1141,0.0,0.0,0.1141,0.0914
highway_only,20,10.0,0.6303,18514.2029,10331.6891,128.059,32.371,26.141,530.71,1000,0.1185,0.0,0.0,0.1185,0.1323
highway_only,20,12.0,0.5312,19925.5841,11790.1056,128.416,31.649,26.58,554.631,1000,0.1184,0.0,0.0,0.1184,0.1635
highway_only,20,16.0,0.4007,23702.3425,15260.1397,127.827,30.457,27.519,597.007,1000,0.12,0.0,0.0,0.12,0.1881
highway_only,50,0.0,0.9581,16227.2755,6335.6364,132.216,35.572,52.609,913.172,1000,0.1933,0.0,0.0,0.1933,0.0
highway_only,50,1.0,0.955,16098.2198,6385.5811,131.743,35.617,52.616,915.752,1000,0.1916,0.0,0.0,0.1916,0.0
highway_only,50,2.0,0.9492,16048.6637,6484.4249,131.417,35.338,52.937,920.709,1000,0.1898,0.0,0.0,0.1898,0.0
highway_only,50,3.0,0.9454,16078.6074,6715.9762,131.457,35.263,53.174,928.789,1000,0.1934,0.0,0.0,0.1934,0.0
highway_only,50,4.0,0.935,16188.0505,7011.7649,131.813,35.337,53.272,934.048,1000,0.1921,0.0,0.0,0.1921,0.0
highway_only,50,6.0,0.901,16645.436,7954.4467,129.168,34.128,54.924,981.299,1000,0.206,0.0,0.0,0.206,0.0401
highway_only,50,8.0,0.8468,17420.8201,9018.1464,129.141,33.732,55.631,1017.037,1000,0.2068,0.0,0.0,0.2068,0.0995
highway_only,50,10.0,0.7569,18514.2029,10331.6891,128.059,32.371,56.776,1067.247,1000,0.2163,0.0,0.0,0.2163,0.1395
highway_only,50,12.0,0.6784,19925.5841,11790.1056,128.416,31.649,57.765,1122.718,1000,0.2186,0.0,0.0,0.2186,0.1701
highway_only,50,16.0,0.5473,23702.3425,15260.1397,127.827,30.457,58.511,1201.602,1000,0.2208,0.0,0.0,0.2208,0.1946
highway_only,100,0.0,0.9788,16227.2755,6335.6364,132.216,35.572,102.201,1612.854,1000,0.333,0.0,0.0,0.333,0.0
highway_only,100,1.0,0.9747,16098.2198,6385.5811,131.743,35.617,102.208,1617.16,1000,0.3297,0.0,0.0,0.3297,0.0
highway_only,100,2.0,0.9703,16048.6637,6484.4249,131.417,35.338,102.484,1624.203,1000,0.3269,0.0,0.0,0.3269,0.0
highway_only,100,3.0,0.9685,16078.6074,6715.9762,131.457,35.263,102.799,1635.748,1000,0.333,0.0,0.0,0.333,0.0
highway_only,100,4.0,0.9655,16188.0505,7011.7649,131.813,35.337,103.046,1646.874,1000,0.3344,0.0,0.0,0.3344,0.0
highway_only,100,6.0,0.9415,16645.436,7954.4467,129.168,34.128,104.719,1713.343,1000,0.3527,0.0,0.0,0.3527,0.0415
highway_only,100,8.0,0.9009,17420.8201,9018.1464,129.141,33.732,105.804,1780.138,1000,0.3545,0.0,0.0,0.3545,0.1028
highway_only,100,10.0,0.8289,18514.2029,10331.6891,128.059,32.371,106.52,1853.94,1000,0.3713,0.0,0.0,0.3713,0.1434
highway_only,100,12.0,0.7574,19925.5841,11790.1056,128.416,31.649,107.9,1953.554,1000,0.3757,0.0,0.0,0.3757,0.1749
highway_only,100,16.0,0.6585,23702.3425,15260.1397,127.827,30.457,108.34,2095.721,1000,0.3769,0.0,0.0,0.3769,0.2002
highway_only,200,0.0,0.9891,16227.2755,6335.6364,132.216,35.572,201.816,2859.18,1000,0.572,0.0,0.0,0.572,0.0
highway_only,200,1.0,0.9874,16098.2198,6385.5811,131.743,35.617,202.054,2868.327,1000,0.5847,0.0,0.0,0.5847,0.0
highway_only,200,2.0,0.9843,16048.6637,6484.4249,131.417,35.338,202.161,2882.981,1000,0.5759,0.0,0.0,0.5759,0.0
highway_only,200,3.0,0.9851,16078.6074,6715.9762,131.457,35.263,202.51,2898.845,1000,0.5854,0.0,0.0,0.5854,0.0
highway_only,200,4.0,0.9835,16188.0505,7011.7649,131.813,35.337,202.951,2924.343,1000,0.5832,0.0,0.0,0.5832,0.0
highway_only,200,6.0,0.9665,16645.436,7954.4467,129.168,34.128,205.054,3030.718,1000,0.6107,0.0,0.0,0.6107,0.0433
highway_only,200,8.0,0.9307,17420.8201,9018.1464,129.141,33.732,205.272,3141.957,1000,0.6183,0.0,0.0,0.6183,0.1094
highway_only,200,10.0,0.8824,18514.2029,10331.6891,128.059,32.371,207.61,3303.276,1000,0.6466,0.0,0.0,0.6466,0.1518
highway_only,200,12.0,0.8212,19925.5841,11790.1056,128.416,31.649,208.4,3479.453,1000,0.6584,0.0,0.0,0.6584,0.1834
highway_only,200,16.0,0.7454,23702.3425,15260.1397,127.827,30.457,208.094,3753.799,1000,0.657,0.0,0.0,0.657,0.2172
highway_only,500,0.0,0.9967,16227.2755,6335.6364,132.216,35.572,501.361,6075.089,1000,1.2358,0.0,0.0,1.2358,0.0
highway_only,500,1.0,0.996,16098.2198,6385.5811,131.743,35.617,501.843,6099.247,1000,1.2489,0.0,0.0,1.2489,0.0
highway_only,500,2.0,0.996,16048.6637,6484.4249,131.417,35.338,502.914,6139.511,1000,1.2442,0.0,0.0,1.2442,0.0
highway_only,500,3.0,0.9944,16078.6074,6715.9762,131.457,35.263,502.423,6177.205,1000,1.2593,0.0,0.0,1.2593,0.0
highway_only,500,4.0,0.9926,16188.0505,7011.7649,131.813,35.337,502.76,6227.682,1000,1.2544,0.0,0.0,1.2544,0.0
highway_only,500,6.0,0.9846,16645.436,7954.4467,129.168,34.128,506.039,6445.689,1000,1.31,0.0,0.0,1.31,0.0458
highway_only,500,8.0,0.9607,17420.8201,9018.1464,129.141,33.732,507.498,6747.239,1000,1.338,0.0,0.0,1.338,0.1226
highway_only,500,10.0,0.9239,18514.2029,10331.6891,128.059,32.371,510.269,7118.583,1000,1.398,0.0,0.0,1.398,0.1786
highway_only,500,12.0,0.8825,19925.5841,11790.1056,128.416,31.649,512.596,7546.233,1000,1.4325,0.0,0.0,1.4325,0.2215
highway_only,500,16.0,0.8233,23702.3425,15260.1397,127.827,30.457,508.826,8239.202,1000,1.4684,0.0,0.0,1.4684,0.2558
no_adaptation,10,0.0,0.8432,16227.2755,6335.6364,132.216,35.572,13.481,272.49,1000,0.0753,0.0,0.0,0.0753,0.0
no_adaptation,10,1.0,0.8288,16098.2198,6385.5811,131.743,35.617,13.414,272.078,1000,0.0702,0.0,0.0,0.0702,0.0
no_adaptation,10,2.0,0.8139,16048.6637,6484.4249,131.417,35.338,13.536,273.633,1000,0.067,0.0,0.0,0.067,0.0
no_adaptation,10,3.0,0.8038,16078.6074,6715.9762,131.457,35.263,13.688,278.687,1000,0.0683,0.0,0.0,0.0683,0.0
no_adaptation,10,4.0,0.7837,16188.0505,7011.7649,131.813,35.337,13.742,279.132,1000,0.0674,0.0,0.0,0.0674,0.0
no_adaptation,10,6.0,0.7058,16645.436,7942.9637,129.145,34.065,14.276,294.376,1000,0.0702,0.0,0.0,0.0702,0.0
no_adaptation,10,8.0,0.626,17420.8201,9022.0104,128.917,33.672,14.911,309.45,1000,0.0711,0.0,0.0,0.0711,0.0
