schedule,condition,epoch,ef,recall,edge_count
gradual,adaptive_layer0,6,32,0.982,5600
gradual,adaptive_layer0,6,64,0.9964,5600
gradual,adaptive_layer0,6,128,0.9992000000000001,5600
gradual,adaptive_layer0,7,32,0.9624000000000001,6400
gradual,adaptive_layer0,7,64,0.9888000000000001,6400
gradual,adaptive_layer0,7,128,0.998,6400
gradual,adaptive_layer0,8,32,0.9258000000000001,7200
gradual,adaptive_layer0,8,64,0.9724,7200
gradual,adaptive_layer0,8,128,0.992,7200
gradual,adaptive_layer0,9,32,0.8652000000000001,8000
gradual,adaptive_layer0,9,64,0.9386000000000001,8000
gradual,adaptive_layer0,9,128,0.9818000000000001,8000
gradual,adaptive_layer0,10,32,0.8647999999999999,8800
gradual,adaptive_layer0,10,64,0.9430000000000001,8800
gradual,adaptive_layer0,10,128,0.9816000000000001,8800
gradual,adaptive_layer0,11,32,0.8786,9600
gradual,adaptive_layer0,11,64,0.9506000000000001,9600
gradual,adaptive_layer0,11,128,0.9838,9600
gradual,adaptive_layer0,12,32,0.8667999999999999,10400
gradual,adaptive_layer0,12,64,0.9446000000000001,10400
gradual,adaptive_layer0,12,128,0.9846000000000001,10400
gradual,adaptive_layer0,13,32,0.8728,11200
gradual,adaptive_layer0,13,64,0.9494000000000001,11200
gradual,adaptive_layer0,13,128,0.9825999999999999,11200
gradual,adaptive_layer0,14,32,0.8654000000000001,12000
gradual,adaptive_layer0,14,64,0.9476000000000001,12000
gradual,adaptive_layer0,14,128,0.9834,12000
gradual,adaptive_layer0,15,32,0.8742000000000001,12800
gradual,adaptive_layer0,15,64,0.9448000000000001,12800
gradual,adaptive_layer0,15,128,0.9824,12800
gradual,adaptive_layer0,16,32,0.7837999999999999,13600
gradual,adaptive_layer0,16,64,0.89,13600
gradual,adaptive_layer0,16,128,0.9562,13600
gradual,adaptive_layer0,17,32,0.6832,14400
gradual,adaptive_layer0,17,64,0.8148,14400
gradual,adaptive_layer0,17,128,0.9104000000000001,14400
gradual,adaptive_layer0,18,32,0.5942000000000001,15200
gradual,adaptive_layer0,18,64,0.7324,15200
gradual,adaptive_layer0,18,128,0.8398,15200
gradual,adaptive_layer0,19,32,0.5052,16000
gradual,adaptive_layer0,19,64,0.6446000000000002,16000
gradual,adaptive_layer0,19,128,0.7626000000000001,16000
gradual,adaptive_layer0,20,32,0.479,16800
gradual,adaptive_layer0,20,64,0.619,16800
gradual,adaptive_layer0,20,128,0.74,16800
gradual,adaptive_layer0,21,32,0.5187999999999999,17600
gradual,adaptive_layer0,21,64,0.6517999999999999,17600
gradual,adaptive_layer0,21,128,0.769,17600
gradual,adaptive_layer0,22,32,0.512,18400
gradual,adaptive_layer0,22,64,0.6447999999999999,18400
gradual,adaptive_layer0,22,128,0.767,18400
gradual,adaptive_layer0,23,32,0.487,19200
